r,t,y,TotalCapacityAnnual
RE1,UPSREF001,2033,2876.6643
RE1,UPSREF001,2034,2876.6643
RE1,UPSREF001,2035,2876.6643
RE1,UPSREF001,2036,2876.6643
RE1,UPSREF001,2037,2876.6643
RE1,UPSREF001,2038,2876.6643
RE1,UPSREF001,2039,2876.6643
RE1,UPSREF001,2040,2876.6643
RE1,UPSREF001,2041,2876.6643
RE1,UPSREF001,2042,2876.6643
RE1,UPSREF001,2043,2876.6643
RE1,UPSREF001,2044,2876.6643
RE1,UPSREF001,2045,2876.6643
RE1,MINNGS,2015,842.0383
RE1,MINNGS,2016,770.6678
RE1,MINNGS,2017,717.2238
RE1,MINNGS,2018,687.2143
RE1,MINNGS,2019,682.1699
RE1,MINNGS,2020,10.7889
RE1,MINNGS,2039,47.2138
RE1,MINNGS,2040,94.1685
RE1,MINNGS,2041,99.8877
RE1,MINNGS,2042,99.8877
RE1,MINNGS,2043,99.8877
RE1,MINNGS,2044,49.9438
RE1,MINSOL,2015,19.2273
RE1,MINSOL,2016,33.282
RE1,MINSOL,2017,36.6855
RE1,MINSOL,2018,40.2789
RE1,MINSOL,2019,40.5636
RE1,MINSOL,2020,40.5636
RE1,MINSOL,2021,41.6077
RE1,MINSOL,2022,41.6077
RE1,MINSOL,2023,41.6077
RE1,MINSOL,2024,41.6077
RE1,MINSOL,2025,41.6077
RE1,MINSOL,2026,41.6077
RE1,MINSOL,2027,41.6077
RE1,MINSOL,2028,41.6077
RE1,MINSOL,2029,41.6077
RE1,MINSOL,2030,41.6077
RE1,MINSOL,2031,41.6077
RE1,MINSOL,2032,41.6077
RE1,MINSOL,2033,41.6077
RE1,MINSOL,2034,41.6077
RE1,MINSOL,2035,22.4274
RE1,MINSOL,2036,8.3727
RE1,MINSOL,2037,4.9692
RE1,MINSOL,2038,1.3759
RE1,MINSOL,2039,1.0911
RE1,MINSOL,2040,1.0911
RE1,MINSOL,2041,0.047
RE1,MINSOL,2042,0.047
RE1,MINSOL,2043,0.047
RE1,MINWND,2015,1.5132
RE1,MINWND,2016,3.2785
RE1,MINWND,2017,4.061
RE1,MINWND,2018,7.1325
RE1,MINWND,2019,9.745
RE1,MINWND,2020,9.745
RE1,MINWND,2021,9.9907
RE1,MINWND,2022,9.9907
RE1,MINWND,2023,9.9907
RE1,MINWND,2024,9.9907
RE1,MINWND,2025,9.9907
RE1,MINWND,2026,9.9907
RE1,MINWND,2027,9.9907
RE1,MINWND,2028,9.9907
RE1,MINWND,2029,9.9907
RE1,MINWND,2030,9.9907
RE1,MINWND,2031,9.9907
RE1,MINWND,2032,9.9907
RE1,MINWND,2033,9.9907
RE1,MINWND,2034,9.9907
RE1,MINWND,2035,9.9907
RE1,MINWND,2036,8.2254
RE1,MINWND,2037,8.2254
RE1,MINWND,2038,8.2254
RE1,MINWND,2039,8.2254
RE1,MINWND,2040,8.2254
RE1,MINWND,2041,8.2254
RE1,MINWND,2042,8.2254
RE1,MINWND,2043,8.2254
RE1,MINWND,2044,8.2254
RE1,MINWND,2045,8.2254
RE1,MINWND,2046,8.2254
RE1,MINWND,2047,3.2785
RE1,MINWND,2048,2.5866
RE1,MINWND,2049,2.5866
RE1,MINHYD,2015,51.7481
RE1,MINHYD,2016,51.7481
RE1,MINHYD,2017,51.7481
RE1,MINHYD,2018,51.7481
RE1,MINHYD,2019,51.7481
RE1,MINHYD,2020,51.7481
RE1,MINHYD,2021,51.7481
RE1,MINHYD,2022,51.7481
RE1,MINHYD,2023,51.7481
RE1,MINHYD,2024,51.7481
RE1,MINHYD,2025,51.7481
RE1,MINHYD,2026,51.7481
RE1,MINHYD,2027,51.7481
RE1,MINHYD,2028,51.7481
RE1,MINHYD,2029,51.7481
RE1,MINHYD,2030,51.7481
RE1,MINHYD,2031,51.7481
RE1,MINHYD,2032,51.7481
RE1,MINHYD,2033,51.7481
RE1,MINHYD,2034,51.7481
RE1,MINHYD,2035,51.7481
RE1,MINHYD,2036,51.7481
RE1,MINHYD,2037,51.7481
RE1,MINHYD,2038,51.7481
RE1,MINHYD,2039,51.7481
RE1,MINHYD,2040,51.7481
RE1,MINHYD,2041,51.7481
RE1,MINHYD,2042,51.7481
RE1,MINHYD,2043,51.7481
RE1,MINHYD,2044,51.7481
RE1,MINHYD,2045,51.7481
RE1,MINHYD,2046,51.7481
RE1,MINHYD,2047,51.7481
RE1,MINHYD,2048,51.7481
RE1,MINHYD,2049,51.7481
RE1,MINHYD,2050,51.7481
RE1,PWRBIO001,2015,2.978
RE1,PWRBIO001,2016,3.404
RE1,PWRBIO001,2017,3.829
RE1,PWRBIO001,2018,4.04
RE1,PWRBIO001,2019,4.04
RE1,PWRBIO001,2020,4.255
RE1,PWRBIO001,2021,4.468
RE1,PWRBIO001,2022,4.468
RE1,PWRBIO001,2023,4.468
RE1,PWRBIO001,2024,4.468
RE1,PWRBIO001,2025,4.468
RE1,PWRBIO001,2026,4.468
RE1,PWRBIO001,2027,4.468
RE1,PWRBIO001,2028,4.468
RE1,PWRBIO001,2029,4.468
RE1,PWRBIO001,2030,4.468
RE1,PWRBIO001,2031,1.49
RE1,PWRBIO001,2032,1.49
RE1,PWRBIO001,2033,1.49
RE1,PWRBIO001,2034,1.49
RE1,PWRBIO001,2035,1.49
RE1,PWRBIO001,2036,1.49
RE1,PWRBIO001,2037,1.49
RE1,PWRBIO001,2038,1.49
RE1,PWRBIO001,2039,1.49
RE1,PWRBIO001,2040,1.49
RE1,PWRBIO001,2041,1.49
RE1,PWRBIO001,2042,1.49
RE1,PWRBIO001,2043,1.49
RE1,PWRBIO001,2044,1.49
RE1,PWRBIO001,2045,1.49
RE1,PWRBIO001,2046,1.064
RE1,PWRBIO001,2047,0.639
RE1,PWRBIO001,2048,0.428
RE1,PWRBIO001,2049,0.428
RE1,PWRBIO001,2050,0.213
RE1,PWRCOA001,2015,5.259
RE1,PWRCOA001,2016,5.259
RE1,PWRCOA001,2017,5.259
RE1,PWRCOA001,2018,5.259
RE1,PWRCOA001,2019,5.259
RE1,PWRCOA001,2020,20.8042
RE1,PWRCOA001,2021,20.8042
RE1,PWRCOA001,2022,29.5849
RE1,PWRCOA001,2023,30.6907
RE1,PWRCOA001,2024,31.7957
RE1,PWRCOA001,2025,32.9
RE1,PWRCOA001,2026,34.0951
RE1,PWRCOA001,2027,35.2893
RE1,PWRCOA001,2028,36.4828
RE1,PWRCOA001,2029,37.6754
RE1,PWRCOA001,2030,38.8673
RE1,PWRCOA001,2031,43.0129
RE1,PWRCOA001,2032,44.3781
RE1,PWRCOA001,2033,45.7425
RE1,PWRCOA001,2034,47.1059
RE1,PWRCOA001,2035,48.8301
RE1,PWRCOA001,2036,50.2428
RE1,PWRCOA001,2037,51.3957
RE1,PWRCOA001,2038,52.5514
RE1,PWRCOA001,2039,52.5514
RE1,PWRCOA001,2040,52.5514
RE1,PWRCOA001,2041,53.5158
RE1,PWRCOA001,2042,54.5942
RE1,PWRCOA001,2043,55.6719
RE1,PWRCOA001,2044,57.9234
RE1,PWRCOA001,2045,60.173
RE1,PWRCOA001,2046,61.3129
RE1,PWRCOA001,2047,62.6147
RE1,PWRCOA001,2048,63.5758
RE1,PWRCOA001,2049,64.3167
RE1,PWRCOA001,2050,65.3467
RE1,PWRCOA001,2051,67.7221
RE1,PWRCOA001,2052,68.5296
RE1,PWRCOA001,2053,69.3461
RE1,PWRCOA001,2054,70.1717
RE1,PWRCOA001,2055,71.0084
RE1,PWRCOA001,2056,71.8612
RE1,PWRCOA001,2057,72.7235
RE1,PWRCOA001,2058,73.5954
RE1,PWRCOA001,2059,74.4771
RE1,PWRCOA001,2060,75.3686
RE1,PWRCOA001,2061,76.27
RE1,PWRCOA001,2062,77.1815
RE1,PWRCOA001,2063,78.1032
RE1,PWRCOA001,2064,79.0351
RE1,PWRCOA001,2065,79.9775
RE1,PWRCOA001,2066,80.9303
RE1,PWRCOA001,2067,81.8938
RE1,PWRCOA001,2068,82.868
RE1,PWRCOA001,2069,83.8531
RE1,PWRCOA001,2070,84.8492
RE1,PWRNGS001,2015,27.132
RE1,PWRNGS001,2016,27.132
RE1,PWRNGS001,2017,27.132
RE1,PWRNGS001,2018,27.132
RE1,PWRNGS001,2019,27.132
RE1,PWRNGS001,2020,27.132
RE1,PWRNGS001,2021,27.132
RE1,PWRNGS001,2022,27.132
RE1,PWRNGS001,2023,27.132
RE1,PWRNGS001,2024,10.764
RE1,PWRNGS001,2025,10.764
RE1,PWRNGS001,2026,10.016
RE1,PWRNGS001,2027,10.016
RE1,PWRNGS001,2028,9.892
RE1,PWRNGS001,2029,9.77
RE1,PWRNGS001,2030,8.594
RE1,PWRNGS001,2031,8.35
RE1,PWRNGS001,2032,8.35
RE1,PWRNGS001,2033,7.524
RE1,PWRNGS001,2034,7.184
RE1,PWRNGS001,2035,7.184
RE1,PWRNGS001,2036,7.184
RE1,PWRNGS001,2037,7.184
RE1,PWRNGS001,2038,4.316
RE1,PWRNGS001,2039,4.316
RE1,PWRNGS001,2040,3.612
RE1,PWRNGS001,2041,3.2
RE1,PWRNGS001,2042,3.2
RE1,PWRNGS001,2043,3.2
RE1,PWRNGS001,2044,1.6
RE1,PWRSOL001,2015,1.4145
RE1,PWRSOL001,2016,2.451
RE1,PWRSOL001,2017,2.702
RE1,PWRSOL001,2018,2.967
RE1,PWRSOL001,2019,2.988
RE1,PWRSOL001,2020,2.988
RE1,PWRSOL001,2021,3.065
RE1,PWRSOL001,2022,3.065
RE1,PWRSOL001,2023,3.065
RE1,PWRSOL001,2024,3.065
RE1,PWRSOL001,2025,3.065
RE1,PWRSOL001,2026,3.065
RE1,PWRSOL001,2027,3.065
RE1,PWRSOL001,2028,3.065
RE1,PWRSOL001,2029,3.065
RE1,PWRSOL001,2030,3.065
RE1,PWRSOL001,2031,3.065
RE1,PWRSOL001,2032,3.065
RE1,PWRSOL001,2033,3.065
RE1,PWRSOL001,2034,3.065
RE1,PWRSOL001,2035,1.6505
RE1,PWRSOL001,2036,0.614
RE1,PWRSOL001,2037,0.363
RE1,PWRSOL001,2038,0.098
RE1,PWRSOL001,2039,0.077
RE1,PWRSOL001,2040,0.077
RE1,PWRCSP002,2015,0.005
RE1,PWRCSP002,2016,0.005
RE1,PWRCSP002,2017,0.005
RE1,PWRCSP002,2018,0.005
RE1,PWRCSP002,2019,0.005
RE1,PWRCSP002,2020,0.005
RE1,PWRCSP002,2021,0.005
RE1,PWRCSP002,2022,0.005
RE1,PWRCSP002,2023,0.005
RE1,PWRCSP002,2024,0.005
RE1,PWRCSP002,2025,0.005
RE1,PWRCSP002,2026,0.005
RE1,PWRCSP002,2027,0.005
RE1,PWRCSP002,2028,0.005
RE1,PWRCSP002,2029,0.005
RE1,PWRCSP002,2030,0.005
RE1,PWRCSP002,2031,0.005
RE1,PWRCSP002,2032,0.005
RE1,PWRCSP002,2033,0.005
RE1,PWRCSP002,2034,0.005
RE1,PWRCSP002,2035,0.005
RE1,PWRCSP002,2036,0.005
RE1,PWRCSP002,2037,0.005
RE1,PWRCSP002,2038,0.005
RE1,PWRCSP002,2039,0.005
RE1,PWRCSP002,2040,0.005
RE1,PWRCSP002,2041,0.005
RE1,PWRCSP002,2042,0.005
RE1,PWRCSP002,2043,0.005
RE1,PWRHYD001,2015,3.639
RE1,PWRHYD001,2016,3.639
RE1,PWRHYD001,2017,3.639
RE1,PWRHYD001,2018,3.639
RE1,PWRHYD001,2019,3.639
RE1,PWRHYD001,2020,3.639
RE1,PWRHYD001,2021,3.639
RE1,PWRHYD001,2022,3.639
RE1,PWRHYD001,2023,3.639
RE1,PWRHYD001,2024,3.639
RE1,PWRHYD001,2025,3.639
RE1,PWRHYD001,2026,3.639
RE1,PWRHYD001,2027,3.639
RE1,PWRHYD001,2028,3.639
RE1,PWRHYD001,2029,3.639
RE1,PWRHYD001,2030,3.639
RE1,PWRHYD001,2031,3.639
RE1,PWRHYD001,2032,3.639
RE1,PWRHYD001,2033,3.639
RE1,PWRHYD001,2034,3.639
RE1,PWRHYD001,2035,3.639
RE1,PWRHYD001,2036,3.639
RE1,PWRHYD001,2037,3.639
RE1,PWRHYD001,2038,3.639
RE1,PWRHYD001,2039,3.639
RE1,PWRHYD001,2040,3.639
RE1,PWRHYD001,2041,3.639
RE1,PWRHYD001,2042,3.639
RE1,PWRHYD001,2043,3.639
RE1,PWRHYD001,2044,3.639
RE1,PWRHYD001,2045,3.639
RE1,PWRHYD001,2046,3.639
RE1,PWRHYD001,2047,3.639
RE1,PWRHYD001,2048,3.639
RE1,PWRHYD001,2049,3.639
RE1,PWRHYD001,2050,3.639
RE1,PWRHYD002,2015,0.148
RE1,PWRHYD002,2016,0.148
RE1,PWRHYD002,2017,0.148
RE1,PWRHYD002,2018,0.148
RE1,PWRHYD002,2019,0.148
RE1,PWRHYD002,2020,0.148
RE1,PWRHYD002,2021,0.148
RE1,PWRHYD002,2022,0.148
RE1,PWRHYD002,2023,0.148
RE1,PWRHYD002,2024,0.148
RE1,PWRHYD002,2025,0.148
RE1,PWRHYD002,2026,0.148
RE1,PWRHYD002,2027,0.148
RE1,PWRHYD002,2028,0.148
RE1,PWRHYD002,2029,0.148
RE1,PWRHYD002,2030,0.148
RE1,PWRHYD002,2031,0.148
RE1,PWRHYD002,2032,0.148
RE1,PWRHYD002,2033,0.148
RE1,PWRHYD002,2034,0.148
RE1,PWRHYD002,2035,0.148
RE1,PWRHYD002,2036,0.148
RE1,PWRHYD002,2037,0.148
RE1,PWRHYD002,2038,0.148
RE1,PWRHYD002,2039,0.148
RE1,PWRHYD002,2040,0.148
RE1,PWRHYD002,2041,0.148
RE1,PWRHYD002,2042,0.148
RE1,PWRHYD002,2043,0.148
RE1,PWRHYD002,2044,0.148
RE1,PWRHYD002,2045,0.148
RE1,PWRHYD002,2046,0.148
RE1,PWRHYD002,2047,0.148
RE1,PWRHYD002,2048,0.148
RE1,PWRHYD002,2049,0.148
RE1,PWRHYD002,2050,0.148
RE1,PWRWND001,2015,0.234
RE1,PWRWND001,2016,0.507
RE1,PWRWND001,2017,0.628
RE1,PWRWND001,2018,1.103
RE1,PWRWND001,2019,1.507
RE1,PWRWND001,2020,1.507
RE1,PWRWND001,2021,1.545
RE1,PWRWND001,2022,1.545
RE1,PWRWND001,2023,1.545
RE1,PWRWND001,2024,1.545
RE1,PWRWND001,2025,1.545
RE1,PWRWND001,2026,1.545
RE1,PWRWND001,2027,1.545
RE1,PWRWND001,2028,1.545
RE1,PWRWND001,2029,1.545
RE1,PWRWND001,2030,1.545
RE1,PWRWND001,2031,1.545
RE1,PWRWND001,2032,1.545
RE1,PWRWND001,2033,1.545
RE1,PWRWND001,2034,1.545
RE1,PWRWND001,2035,1.545
RE1,PWRWND001,2036,1.272
RE1,PWRWND001,2037,1.272
RE1,PWRWND001,2038,1.272
RE1,PWRWND001,2039,1.272
RE1,PWRWND001,2040,1.272
RE1,PWRWND001,2041,1.272
RE1,PWRWND001,2042,1.272
RE1,PWRWND001,2043,1.272
RE1,PWRWND001,2044,1.272
RE1,PWRWND001,2045,1.272
RE1,PWRWND001,2046,1.272
RE1,PWRWND001,2047,0.507
RE1,PWRWND001,2048,0.4
RE1,PWRWND001,2049,0.4
RE1,PWRTRNIMP,2015,3.1967
RE1,PWRTRNIMP,2016,3.6996
RE1,PWRTRNIMP,2017,4.2285
RE1,PWRTRNIMP,2018,4.4612
RE1,PWRTRNIMP,2019,4.4838
RE1,PWRTRNIMP,2020,4.4833
RE1,PWRTRNIMP,2021,4.4695
RE1,PWRTRNIMP,2022,4.9576
RE1,PWRTRNIMP,2023,5.0199
RE1,PWRTRNIMP,2024,5.0822
RE1,PWRTRNIMP,2025,5.1444
RE1,PWRTRNIMP,2026,5.2116
RE1,PWRTRNIMP,2027,5.2788
RE1,PWRTRNIMP,2028,5.3459
RE1,PWRTRNIMP,2029,5.413
RE1,PWRTRNIMP,2030,5.48
RE1,PWRTRNIMP,2031,5.5568
RE1,PWRTRNIMP,2032,5.6334
RE1,PWRTRNIMP,2033,5.71
RE1,PWRTRNIMP,2034,5.7866
RE1,PWRTRNIMP,2035,6.1523
RE1,PWRTRNIMP,2036,6.407
RE1,PWRTRNIMP,2037,6.5197
RE1,PWRTRNIMP,2038,6.6351
RE1,PWRTRNIMP,2039,6.7007
RE1,PWRTRNIMP,2040,6.7619
RE1,PWRTRNIMP,2041,6.8375
RE1,PWRTRNIMP,2042,6.8973
RE1,PWRTRNIMP,2043,6.9571
RE1,PWRTRNIMP,2044,7.0175
RE1,PWRTRNIMP,2045,7.0772
RE1,PWRTRNIMP,2046,7.1184
RE1,PWRTRNIMP,2047,7.1075
RE1,PWRTRNIMP,2048,7.1413
RE1,PWRTRNIMP,2049,7.1824
RE1,PWRTRNIMP,2050,7.1936
RE1,PWRTRNIMP,2051,6.9155
RE1,PWRTRNIMP,2052,6.9536
RE1,PWRTRNIMP,2053,6.9922
RE1,PWRTRNIMP,2054,7.0311
RE1,PWRTRNIMP,2055,7.0691
RE1,PWRTRNIMP,2056,7.1024
RE1,PWRTRNIMP,2057,7.1361
RE1,PWRTRNIMP,2058,7.1702
RE1,PWRTRNIMP,2059,7.2046
RE1,PWRTRNIMP,2060,7.2395
RE1,PWRTRNIMP,2061,7.2747
RE1,PWRTRNIMP,2062,7.3103
RE1,PWRTRNIMP,2063,7.3463
RE1,PWRTRNIMP,2064,7.3827
RE1,PWRTRNIMP,2065,7.4195
RE1,PWRTRNIMP,2066,7.4568
RE1,PWRTRNIMP,2067,7.4944
RE1,PWRTRNIMP,2068,7.5325
RE1,PWRTRNIMP,2069,7.5709
RE1,PWRTRNIMP,2070,7.6099
RE1,PWRTRN,2015,42.88
RE1,PWRTRN,2016,42.88
RE1,PWRTRN,2017,42.88
RE1,PWRTRN,2018,42.88
RE1,PWRTRN,2019,42.88
RE1,PWRTRN,2020,42.88
RE1,PWRTRN,2021,42.88
RE1,PWRTRN,2022,42.88
RE1,PWRTRN,2023,42.88
RE1,PWRTRN,2024,42.88
RE1,PWRTRN,2025,42.88
RE1,PWRTRN,2026,42.88
RE1,PWRTRN,2027,42.88
RE1,PWRTRN,2028,42.88
RE1,PWRTRN,2029,42.88
RE1,PWRTRN,2030,42.88
RE1,PWRTRN,2031,42.88
RE1,PWRTRN,2032,42.88
RE1,PWRTRN,2033,43.1087
RE1,PWRTRN,2034,44.21
RE1,PWRTRN,2035,45.3106
RE1,PWRTRN,2036,46.1907
RE1,PWRTRN,2037,47.0703
RE1,PWRTRN,2038,47.9493
RE1,PWRTRN,2039,48.8402
RE1,PWRTRN,2040,49.7304
RE1,PWRTRN,2041,50.6013
RE1,PWRTRN,2042,51.4715
RE1,PWRTRN,2043,52.3413
RE1,PWRTRN,2044,53.2104
RE1,PWRTRN,2045,54.079
RE1,PWRTRN,2046,54.6781
RE1,PWRTRN,2047,55.2768
RE1,PWRTRN,2048,55.8751
RE1,PWRTRN,2049,56.473
RE1,PWRTRN,2050,57.0705
RE1,PWRTRN,2051,57.7071
RE1,PWRTRN,2052,58.3508
RE1,PWRTRN,2053,59.0017
RE1,PWRTRN,2054,59.6599
RE1,PWRTRN,2055,60.3254
RE1,PWRTRN,2056,60.9983
RE1,PWRTRN,2057,61.6787
RE1,PWRTRN,2058,62.3667
RE1,PWRTRN,2059,63.0624
RE1,PWRTRN,2060,63.7659
RE1,PWRTRN,2061,64.4772
RE1,PWRTRN,2062,65.1964
RE1,PWRTRN,2063,65.9237
RE1,PWRTRN,2064,66.659
RE1,PWRTRN,2065,67.4026
RE1,PWRTRN,2066,68.1545
RE1,PWRTRN,2067,68.9147
RE1,PWRTRN,2068,69.6835
RE1,PWRTRN,2069,70.4608
RE1,PWRTRN,2070,71.2468
RE1,PWRDIST,2015,42.88
RE1,PWRDIST,2016,42.88
RE1,PWRDIST,2017,42.88
RE1,PWRDIST,2018,42.88
RE1,PWRDIST,2019,42.88
RE1,PWRDIST,2020,42.88
RE1,PWRDIST,2021,42.88
RE1,PWRDIST,2022,42.88
RE1,PWRDIST,2023,42.88
RE1,PWRDIST,2024,42.88
RE1,PWRDIST,2025,42.88
RE1,PWRDIST,2026,42.88
RE1,PWRDIST,2027,42.88
RE1,PWRDIST,2028,42.88
RE1,PWRDIST,2029,42.88
RE1,PWRDIST,2030,42.88
RE1,PWRDIST,2031,42.88
RE1,PWRDIST,2032,42.88
RE1,PWRDIST,2033,42.88
RE1,PWRDIST,2034,42.88
RE1,PWRDIST,2035,42.88
