r,t,f,y,ProductionByTechnologyAnnual
RE1,DEMCOMELC,COMELC,2040,8.569
RE1,DEMCOMELC,COMELC,2041,8.7219
RE1,DEMCOMELC,COMELC,2042,8.8748
RE1,DEMCOMELC,COMELC,2043,9.0277
RE1,DEMCOMELC,COMELC,2044,9.1806
RE1,DEMCOMELC,COMELC,2045,9.3335
RE1,DEMCOMELC,COMELC,2046,9.44
RE1,DEMCOMELC,COMELC,2047,9.5464
RE1,DEMCOMELC,COMELC,2048,9.6529
RE1,DEMCOMELC,COMELC,2049,9.7594
RE1,DEMCOMELC,COMELC,2050,9.8658
RE1,DEMCOMELC,COMELC,2051,9.9759
RE1,DEMCOMELC,COMELC,2052,10.0872
RE1,DEMCOMELC,COMELC,2053,10.1997
RE1,DEMCOMELC,COMELC,2054,10.3135
RE1,DEMCOMELC,COMELC,2055,10.4285
RE1,DEMCOMELC,COMELC,2056,10.5448
RE1,DEMCOMELC,COMELC,2057,10.6625
RE1,DEMCOMELC,COMELC,2058,10.7814
RE1,DEMCOMELC,COMELC,2059,24.4696
RE1,DEMCOMELC,COMELC,2060,8.872
RE1,DEMCOMELC,COMELC,2061,11.1462
RE1,DEMCOMELC,COMELC,2062,11.2706
RE1,DEMCOMELC,COMELC,2063,11.3963
RE1,DEMCOMELC,COMELC,2064,11.5234
RE1,DEMCOMELC,COMELC,2065,11.652
RE1,DEMCOMELC,COMELC,2066,11.7819
RE1,DEMCOMELC,COMELC,2067,11.9134
RE1,DEMCOMELC,COMELC,2068,12.0463
RE1,DEMCOMELC,COMELC,2069,12.1806
RE1,DEMCOMELC,COMELC,2070,55.263
RE1,DEMCOMHEBIO,COMHEL,2015,37.209
RE1,DEMCOMHEBIO,COMHEL,2016,39.1015
RE1,DEMCOMHEBIO,COMHEL,2017,40.0453
RE1,DEMCOMHEBIO,COMHEL,2018,40.9891
RE1,DEMCOMHEBIO,COMHEL,2019,41.933
RE1,DEMCOMHEBIO,COMHEL,2020,42.8768
RE1,DEMCOMHEBIO,COMHEL,2021,43.6453
RE1,DEMCOMHEBIO,COMHEL,2022,44.4138
RE1,DEMCOMHEBIO,COMHEL,2023,45.1824
RE1,DEMCOMHEBIO,COMHEL,2024,45.9509
RE1,DEMCOMHEBIO,COMHEL,2025,46.7194
RE1,DEMCOMHEBIO,COMHEL,2026,47.5908
RE1,DEMCOMHEBIO,COMHEL,2027,48.4622
RE1,DEMCOMHEBIO,COMHEL,2028,49.3335
RE1,DEMCOMHEBIO,COMHEL,2029,50.2049
RE1,DEMCOMHEBIO,COMHEL,2030,51.0763
RE1,DEMCOMHEBIO,COMHEL,2031,51.7934
RE1,DEMCOMHEBIO,COMHEL,2032,52.5105
RE1,DEMCOMHEBIO,COMHEL,2033,53.2276
RE1,DEMCOMHEBIO,COMHEL,2034,53.9447
RE1,DEMCOMHEBIO,COMHEL,2035,53.0008
RE1,DEMCOMHEBIO,COMHEL,2036,52.2323
RE1,DEMCOMHEBIO,COMHEL,2037,51.4638
RE1,DEMCOMHEBIO,COMHEL,2038,50.6953
RE1,DEMCOMHEBIO,COMHEL,2039,49.9267
RE1,DEMCOMHEBIO,COMHEL,2040,45.2686
RE1,DEMCOMHEBIO,COMHEL,2041,47.4149
RE1,DEMCOMHEBIO,COMHEL,2042,47.4155
RE1,DEMCOMHEBIO,COMHEL,2043,46.5441
RE1,DEMCOMHEBIO,COMHEL,2044,45.6727
RE1,DEMCOMHEBIO,COMHEL,2045,7.5924
RE1,DEMCOMHEBIO,COMHEL,2046,4.9828
RE1,DEMCOMHEBIO,COMHEL,2047,3.3219
RE1,DEMCOMHEBIO,COMHEL,2048,1.6609
RE1,DEMCOMHEBIO,COMHEL,2068,0.9735
RE1,DEMCOMHEBIO,COMHEL,2069,0.9735
RE1,DEMCOMHEEL,COMHEL,2035,1.6609
RE1,DEMCOMHEEL,COMHEL,2036,3.0898
RE1,DEMCOMHEEL,COMHEL,2037,4.5187
RE1,DEMCOMHEEL,COMHEL,2038,5.9477
RE1,DEMCOMHEEL,COMHEL,2039,7.3765
RE1,DEMCOMHEEL,COMHEL,2040,12.695
RE1,DEMCOMHEEL,COMHEL,2041,11.1687
RE1,DEMCOMHEEL,COMHEL,2042,11.7882
RE1,DEMCOMHEEL,COMHEL,2043,13.2796
RE1,DEMCOMHEEL,COMHEL,2044,14.771
RE1,DEMCOMHEEL,COMHEL,2045,53.4714
RE1,DEMCOMHEEL,COMHEL,2046,56.5693
RE1,DEMCOMHEEL,COMHEL,2047,58.7185
RE1,DEMCOMHEEL,COMHEL,2048,60.8678
RE1,DEMCOMHEEL,COMHEL,2049,63.017
RE1,DEMCOMHEEL,COMHEL,2050,63.5053
RE1,DEMCOMHEEL,COMHEL,2051,64.0052
RE1,DEMCOMHEEL,COMHEL,2052,64.509
RE1,DEMCOMHEEL,COMHEL,2053,65.0169
RE1,DEMCOMHEEL,COMHEL,2054,65.5287
RE1,DEMCOMHEEL,COMHEL,2055,66.0446
RE1,DEMCOMHEEL,COMHEL,2056,66.5645
RE1,DEMCOMHEEL,COMHEL,2057,67.0884
RE1,DEMCOMHEEL,COMHEL,2058,67.6165
RE1,DEMCOMHEEL,COMHEL,2059,68.1488
RE1,DEMCOMHEEL,COMHEL,2060,68.6853
RE1,DEMCOMHEEL,COMHEL,2061,69.226
RE1,DEMCOMHEEL,COMHEL,2062,69.7709
RE1,DEMCOMHEEL,COMHEL,2063,70.3201
RE1,DEMCOMHEEL,COMHEL,2064,70.8737
RE1,DEMCOMHEEL,COMHEL,2065,71.4316
RE1,DEMCOMHEEL,COMHEL,2066,71.9939
RE1,DEMCOMHEEL,COMHEL,2067,72.5606
RE1,DEMCOMHEEL,COMHEL,2068,72.1584
RE1,DEMCOMHEEL,COMHEL,2069,72.7341
RE1,DEMCOMHEEL,COMHEL,2070,74.2877
RE1,DEMINDELC,INDELC,2015,328.0418
RE1,DEMINDELC,INDELC,2016,347.0108
RE1,DEMINDELC,INDELC,2017,363.2685
RE1,DEMINDELC,INDELC,2018,379.5262
RE1,DEMINDELC,INDELC,2019,395.7839
RE1,DEMINDELC,INDELC,2020,412.0416
RE1,DEMINDELC,INDELC,2021,424.52
RE1,DEMINDELC,INDELC,2022,436.9984
RE1,DEMINDELC,INDELC,2023,449.4769
RE1,DEMINDELC,INDELC,2024,9.0682
RE1,DEMINDELC,INDELC,2025,11.5714
RE1,DEMINDELC,INDELC,2026,9.5779
RE1,DEMINDELC,INDELC,2027,9.8425
RE1,DEMINDELC,INDELC,2028,10.1072
RE1,DEMINDELC,INDELC,2029,12.8868
RE1,DEMINDELC,INDELC,2030,13.2157
RE1,DEMINDELC,INDELC,2031,13.5916
RE1,DEMINDELC,INDELC,2032,13.9675
RE1,DEMINDELC,INDELC,2033,14.3434
RE1,DEMINDELC,INDELC,2034,14.7193
RE1,DEMINDELC,INDELC,2035,15.0952
RE1,DEMINDELC,INDELC,2036,15.3978
RE1,DEMINDELC,INDELC,2037,15.7005
RE1,DEMINDELC,INDELC,2038,16.0031
RE1,DEMINDELC,INDELC,2039,16.3057
RE1,DEMINDELC,INDELC,2040,16.6083
RE1,DEMINDELC,INDELC,2041,16.9047
RE1,DEMINDELC,INDELC,2042,17.201
RE1,DEMINDELC,INDELC,2043,17.4973
RE1,DEMINDELC,INDELC,2044,17.7937
RE1,DEMINDELC,INDELC,2045,18.09
RE1,DEMINDELC,INDELC,2046,18.2964
RE1,DEMINDELC,INDELC,2047,18.5027
RE1,DEMINDELC,INDELC,2048,18.709
RE1,DEMINDELC,INDELC,2049,18.9154
RE1,DEMINDELC,INDELC,2050,19.1217
RE1,DEMINDELC,INDELC,2051,19.335
RE1,DEMINDELC,INDELC,2052,19.5507
RE1,DEMINDELC,INDELC,2053,19.7688
RE1,DEMINDELC,INDELC,2054,19.9893
RE1,DEMINDELC,INDELC,2055,20.2123
RE1,DEMINDELC,INDELC,2056,20.4378
RE1,DEMINDELC,INDELC,2057,20.6657
RE1,DEMINDELC,INDELC,2058,20.8963
RE1,DEMINDELC,INDELC,2059,47.4263
RE1,DEMINDELC,INDELC,2060,17.1956
RE1,DEMINDELC,INDELC,2061,21.6034
RE1,DEMINDELC,INDELC,2062,21.8444
RE1,DEMINDELC,INDELC,2063,22.088
RE1,DEMINDELC,INDELC,2064,22.3344
RE1,DEMINDELC,INDELC,2065,22.5836
RE1,DEMINDELC,INDELC,2066,22.8355
RE1,DEMINDELC,INDELC,2067,23.0902
RE1,DEMINDELC,INDELC,2068,23.3478
RE1,DEMINDELC,INDELC,2069,23.6082
RE1,DEMINDELC,INDELC,2070,107.1094
RE1,DEMINDHEBIO,INDHEL,2015,426.6187
RE1,DEMINDHEBIO,INDHEL,2016,382.5919
RE1,DEMINDHEBIO,INDHEL,2017,389.2174
RE1,DEMINDHEBIO,INDHEL,2018,400.2481
RE1,DEMINDHEBIO,INDHEL,2019,409.232
RE1,DEMINDHEBIO,INDHEL,2020,418.2023
RE1,DEMINDHEBIO,INDHEL,2021,424.4265
RE1,DEMINDHEBIO,INDHEL,2022,430.6414
RE1,DEMINDHEBIO,INDHEL,2023,436.8476
RE1,DEMINDHEBIO,INDHEL,2024,443.0455
RE1,DEMINDHEBIO,INDHEL,2025,449.2357
RE1,DEMINDHEBIO,INDHEL,2026,456.0698
RE1,DEMINDHEBIO,INDHEL,2027,462.8953
RE1,DEMINDHEBIO,INDHEL,2028,469.7126
RE1,DEMINDHEBIO,INDHEL,2029,476.5222
RE1,DEMINDHEBIO,INDHEL,2030,483.3244
RE1,DEMINDHEBIO,INDHEL,2031,489.4573
RE1,DEMINDHEBIO,INDHEL,2032,495.5783
RE1,DEMINDHEBIO,INDHEL,2033,501.6882
RE1,DEMINDHEBIO,INDHEL,2034,507.7874
RE1,DEMINDHEBIO,INDHEL,2035,507.7874
RE1,DEMINDHEBIO,INDHEL,2036,507.7874
RE1,DEMINDHEBIO,INDHEL,2037,503.7647
RE1,DEMINDHEBIO,INDHEL,2038,497.5585
RE1,DEMINDHEBIO,INDHEL,2039,491.3606
RE1,DEMINDHEBIO,INDHEL,2040,455.7168
RE1,DEMINDHEBIO,INDHEL,2041,470.8539
RE1,DEMINDHEBIO,INDHEL,2042,471.5108
RE1,DEMINDHEBIO,INDHEL,2043,464.6935
RE1,DEMINDHEBIO,INDHEL,2044,457.884
RE1,DEMINDHEBIO,INDHEL,2045,24.463
RE1,DEMINDHEBIO,INDHEL,2046,18.3302
RE1,DEMINDHEBIO,INDHEL,2047,12.2091
RE1,DEMINDHEBIO,INDHEL,2048,6.0993
RE1,DEMINDHEBIO,INDHEL,2068,42.45
RE1,DEMINDHEBIO,INDHEL,2069,125.9837
RE1,DEMINDHECOA,INDHEH,2015,639.928
RE1,DEMINDHECOA,INDHEH,2016,573.8878
RE1,DEMINDHECOA,INDHEH,2017,583.8261
RE1,DEMINDHECOA,INDHEH,2018,600.3722
RE1,DEMINDHECOA,INDHEH,2019,613.848
RE1,DEMINDHECOA,INDHEH,2020,627.3034
RE1,DEMINDHECOA,INDHEH,2021,636.6397
RE1,DEMINDHECOA,INDHEH,2022,645.9621
RE1,DEMINDHECOA,INDHEH,2023,655.2714
RE1,DEMINDHECOA,INDHEH,2024,664.5683
RE1,DEMINDHECOA,INDHEH,2025,673.8535
RE1,DEMINDHECOA,INDHEH,2026,684.1047
RE1,DEMINDHECOA,INDHEH,2027,694.3429
RE1,DEMINDHECOA,INDHEH,2028,704.5689
RE1,DEMINDHECOA,INDHEH,2029,704.5689
RE1,DEMINDHECOA,INDHEH,2030,64.6409
RE1,DEMINDHECOA,INDHEH,2031,64.6409
RE1,DEMINDHECOA,INDHEH,2032,64.6409
RE1,DEMINDHECOA,INDHEH,2033,64.6409
RE1,DEMINDHECOA,INDHEH,2034,64.6409
RE1,DEMINDHECOA,INDHEH,2035,64.6409
RE1,DEMINDHECOA,INDHEH,2036,64.6409
RE1,DEMINDHECOA,INDHEH,2037,58.6068
RE1,DEMINDHECOA,INDHEH,2038,49.2975
RE1,DEMINDHECOA,INDHEH,2039,40.0006
RE1,DEMINDHEEH,INDHEH,2029,10.2143
RE1,DEMINDHEEH,INDHEH,2030,660.3458
RE1,DEMINDHEEH,INDHEH,2031,669.5451
RE1,DEMINDHEEH,INDHEH,2032,678.7266
RE1,DEMINDHEEH,INDHEH,2033,687.8914
RE1,DEMINDHEEH,INDHEH,2034,697.0403
RE1,DEMINDHEEH,INDHEH,2035,706.1741
RE1,DEMINDHEEH,INDHEH,2036,714.1932
RE1,DEMINDHEEH,INDHEH,2037,728.2377
RE1,DEMINDHEEH,INDHEH,2038,745.5492
RE1,DEMINDHEEH,INDHEH,2039,762.8404
RE1,DEMINDHEEH,INDHEH,2040,810.8277
RE1,DEMINDHEEH,INDHEH,2041,819.1493
RE1,DEMINDHEEH,INDHEH,2042,827.4653
RE1,DEMINDHEEH,INDHEH,2043,835.7759
RE1,DEMINDHEEH,INDHEH,2044,844.0812
RE1,DEMINDHEEH,INDHEH,2045,852.3815
RE1,DEMINDHEEH,INDHEH,2046,858.7627
RE1,DEMINDHEEH,INDHEH,2047,865.1418
RE1,DEMINDHEEH,INDHEH,2048,871.5186
RE1,DEMINDHEEH,INDHEH,2049,877.8932
RE1,DEMINDHEEH,INDHEH,2050,884.2658
RE1,DEMINDHEEH,INDHEH,2051,890.7889
RE1,DEMINDHEEH,INDHEH,2052,897.3615
RE1,DEMINDHEEH,INDHEH,2053,903.9842
RE1,DEMINDHEEH,INDHEH,2054,910.6572
RE1,DEMINDHEEH,INDHEH,2055,917.3809
RE1,DEMINDHEEH,INDHEH,2056,924.1559
RE1,DEMINDHEEH,INDHEH,2057,930.9824
RE1,DEMINDHEEH,INDHEH,2058,937.8608
RE1,DEMINDHEEH,INDHEH,2059,944.7916
RE1,DEMINDHEEH,INDHEH,2060,951.7752
RE1,DEMINDHEEH,INDHEH,2061,958.8118
RE1,DEMINDHEEH,INDHEH,2062,965.9021
RE1,DEMINDHEEH,INDHEH,2063,973.0465
RE1,DEMINDHEEH,INDHEH,2064,980.2451
RE1,DEMINDHEEH,INDHEH,2065,987.4987
RE1,DEMINDHEEH,INDHEH,2066,994.8075
RE1,DEMINDHEEH,INDHEH,2067,1002.172
RE1,DEMINDHEEH,INDHEH,2068,1009.5925
RE1,DEMINDHEEH,INDHEH,2069,1017.0696
RE1,DEMINDHEEH,INDHEH,2070,1024.6038
RE1,DEMINDHEEL,INDHEL,2035,6.0892
RE1,DEMINDHEEL,INDHEL,2036,11.4353
RE1,DEMINDHEEL,INDHEL,2037,20.7983
RE1,DEMINDHEEL,INDHEL,2038,32.3392
RE1,DEMINDHEEL,INDHEL,2039,43.8667
RE1,DEMINDHEEL,INDHEL,2040,84.835
RE1,DEMINDHEEL,INDHEL,2041,75.2457
RE1,DEMINDHEEL,INDHEL,2042,80.1327
RE1,DEMINDHEEL,INDHEL,2043,92.4904
RE1,DEMINDHEEL,INDHEL,2044,104.8368
RE1,DEMINDHEEL,INDHEL,2045,543.7913
RE1,DEMINDHEEL,INDHEL,2046,554.1784
RE1,DEMINDHEEL,INDHEL,2047,564.552
RE1,DEMINDHEEL,INDHEL,2048,574.9131
RE1,DEMINDHEEL,INDHEL,2049,585.2622
RE1,DEMINDHEEL,INDHEL,2050,589.5105
RE1,DEMINDHEEL,INDHEL,2051,593.8593
RE1,DEMINDHEEL,INDHEL,2052,598.241
RE1,DEMINDHEEL,INDHEL,2053,602.6561
RE1,DEMINDHEEL,INDHEL,2054,607.1048
RE1,DEMINDHEEL,INDHEL,2055,611.5873
RE1,DEMINDHEEL,INDHEL,2056,616.1039
RE1,DEMINDHEEL,INDHEL,2057,620.6549
RE1,DEMINDHEEL,INDHEL,2058,625.2405
RE1,DEMINDHEEL,INDHEL,2059,629.861
RE1,DEMINDHEEL,INDHEL,2060,634.5168
RE1,DEMINDHEEL,INDHEL,2061,639.2079
RE1,DEMINDHEEL,INDHEL,2062,643.9348
RE1,DEMINDHEEL,INDHEL,2063,648.6976
RE1,DEMINDHEEL,INDHEL,2064,653.4967
RE1,DEMINDHEEL,INDHEL,2065,658.3324
RE1,DEMINDHEEL,INDHEL,2066,663.205
RE1,DEMINDHEEL,INDHEL,2067,668.1146
RE1,DEMINDHEEL,INDHEL,2068,630.6117
RE1,DEMINDHEEL,INDHEL,2069,552.0627
RE1,DEMINDHEEL,INDHEL,2070,683.0692
RE1,DEMRESCKNBIO,RESCKN,2015,72.8133
RE1,DEMRESCKNBIO,RESCKN,2016,69.2189
RE1,DEMRESCKNBIO,RESCKN,2017,70.2381
RE1,DEMRESCKNBIO,RESCKN,2018,72.7562
RE1,DEMRESCKNBIO,RESCKN,2019,74.5778
RE1,DEMRESCKNBIO,RESCKN,2020,76.3949
RE1,DEMRESCKNBIO,RESCKN,2021,77.7461
RE1,DEMRESCKNBIO,RESCKN,2022,79.0942
RE1,DEMRESCKNBIO,RESCKN,2023,80.4393
RE1,DEMRESCKNELC,RESCKN,2015,7.0099
RE1,DEMRESCKNELC,RESCKN,2016,6.6639
RE1,DEMRESCKNELC,RESCKN,2017,6.762
RE1,DEMRESCKNELC,RESCKN,2018,7.0044
RE1,DEMRESCKNELC,RESCKN,2019,6.6542
RE1,DEMRESCKNELC,RESCKN,2020,6.304
RE1,DEMRESCKNELC,RESCKN,2021,5.9538
RE1,DEMRESCKNELC,RESCKN,2022,5.6035
RE1,DEMRESCKNELC,RESCKN,2024,221.6303
RE1,DEMRESCKNELC,RESCKN,2025,225.2608
RE1,DEMRESCKNELC,RESCKN,2026,229.2395
RE1,DEMRESCKNELC,RESCKN,2027,233.2102
RE1,DEMRESCKNELC,RESCKN,2028,237.1733
RE1,DEMRESCKNELC,RESCKN,2029,241.1293
RE1,DEMRESCKNELC,RESCKN,2030,245.0786
RE1,DEMRESCKNELC,RESCKN,2031,248.6954
RE1,DEMRESCKNELC,RESCKN,2032,252.3013
RE1,DEMRESCKNELC,RESCKN,2033,255.8969
RE1,DEMRESCKNELC,RESCKN,2034,259.4827
RE1,DEMRESCKNELC,RESCKN,2035,263.0593
RE1,DEMRESCKNELC,RESCKN,2036,266.1718
RE1,DEMRESCKNELC,RESCKN,2037,269.2791
RE1,DEMRESCKNELC,RESCKN,2038,272.3814
RE1,DEMRESCKNELC,RESCKN,2039,275.4788
RE1,DEMRESCKNELC,RESCKN,2040,278.5714
RE1,DEMRESCKNELC,RESCKN,2041,281.6592
RE1,DEMRESCKNELC,RESCKN,2042,284.7436
RE1,DEMRESCKNELC,RESCKN,2043,287.8245
RE1,DEMRESCKNELC,RESCKN,2044,290.9023
RE1,DEMRESCKNELC,RESCKN,2045,293.977
RE1,DEMRESCKNELC,RESCKN,2046,296.3069
RE1,DEMRESCKNELC,RESCKN,2047,298.6355
RE1,DEMRESCKNELC,RESCKN,2048,300.9627
RE1,DEMRESCKNELC,RESCKN,2049,303.2885
RE1,DEMRESCKNELC,RESCKN,2050,305.6131
RE1,DEMRESCKNELC,RESCKN,2051,307.9951
RE1,DEMRESCKNELC,RESCKN,2052,310.3956
RE1,DEMRESCKNELC,RESCKN,2053,312.8148
RE1,DEMRESCKNELC,RESCKN,2054,315.2529
RE1,DEMRESCKNELC,RESCKN,2055,317.7099
RE1,DEMRESCKNELC,RESCKN,2056,320.1861
RE1,DEMRESCKNELC,RESCKN,2057,322.6817
RE1,DEMRESCKNELC,RESCKN,2058,325.1966
RE1,DEMRESCKNELC,RESCKN,2059,327.7312
RE1,DEMRESCKNELC,RESCKN,2060,330.2856
RE1,DEMRESCKNELC,RESCKN,2061,332.8598
RE1,DEMRESCKNELC,RESCKN,2062,335.4541
RE1,DEMRESCKNELC,RESCKN,2063,338.0686
RE1,DEMRESCKNELC,RESCKN,2064,340.7035
RE1,DEMRESCKNELC,RESCKN,2065,343.359
RE1,DEMRESCKNELC,RESCKN,2066,346.0351
RE1,DEMRESCKNELC,RESCKN,2067,348.7321
RE1,DEMRESCKNELC,RESCKN,2068,351.4501
RE1,DEMRESCKNELC,RESCKN,2069,354.1893
RE1,DEMRESCKNELC,RESCKN,2070,356.9499
RE1,DEMRESCKNOIL,RESCKN,2015,117.5028
RE1,DEMRESCKNOIL,RESCKN,2016,111.7023
RE1,DEMRESCKNOIL,RESCKN,2017,113.3469
RE1,DEMRESCKNOIL,RESCKN,2018,117.4106
RE1,DEMRESCKNOIL,RESCKN,2019,120.876
RE1,DEMRESCKNOIL,RESCKN,2020,124.3333
RE1,DEMRESCKNOIL,RESCKN,2021,126.9942
RE1,DEMRESCKNOIL,RESCKN,2022,129.6497
RE1,DEMRESCKNOIL,RESCKN,2023,137.5534
RE1,DEMRESELC,RESELC,2015,163.7593
RE1,DEMRESELC,RESELC,2016,173.2287
RE1,DEMRESELC,RESELC,2017,181.3445
RE1,DEMRESELC,RESELC,2018,189.4604
RE1,DEMRESELC,RESELC,2019,197.5763
RE1,DEMRESELC,RESELC,2020,205.6922
RE1,DEMRESELC,RESELC,2021,211.9215
RE1,DEMRESELC,RESELC,2022,218.1507
RE1,DEMRESELC,RESELC,2023,224.38
RE1,DEMRESELC,RESELC,2024,4.5269
RE1,DEMRESELC,RESELC,2025,5.7764
RE1,DEMRESELC,RESELC,2026,4.7813
RE1,DEMRESELC,RESELC,2027,4.9134
RE1,DEMRESELC,RESELC,2028,5.0456
RE1,DEMRESELC,RESELC,2029,6.4331
RE1,DEMRESELC,RESELC,2030,6.5973
RE1,DEMRESELC,RESELC,2031,6.785
RE1,DEMRESELC,RESELC,2032,6.9726
RE1,DEMRESELC,RESELC,2033,7.1603
RE1,DEMRESELC,RESELC,2034,7.3479
RE1,DEMRESELC,RESELC,2035,7.5356
RE1,DEMRESELC,RESELC,2036,7.6866
RE1,DEMRESELC,RESELC,2037,7.8377
RE1,DEMRESELC,RESELC,2038,7.9888
RE1,DEMRESELC,RESELC,2039,8.1398
RE1,DEMRESELC,RESELC,2040,8.2909
RE1,DEMRESELC,RESELC,2041,8.4388
RE1,DEMRESELC,RESELC,2042,8.5868
RE1,DEMRESELC,RESELC,2043,8.7347
RE1,DEMRESELC,RESELC,2044,8.8826
RE1,DEMRESELC,RESELC,2045,9.0306
RE1,DEMRESELC,RESELC,2046,9.1336
RE1,DEMRESELC,RESELC,2047,9.2366
RE1,DEMRESELC,RESELC,2048,9.3396
RE1,DEMRESELC,RESELC,2049,9.4426
RE1,DEMRESELC,RESELC,2050,9.5456
RE1,DEMRESELC,RESELC,2051,9.6521
RE1,DEMRESELC,RESELC,2052,9.7598
RE1,DEMRESELC,RESELC,2053,9.8686
RE1,DEMRESELC,RESELC,2054,9.9787
RE1,DEMRESELC,RESELC,2055,10.09
RE1,DEMRESELC,RESELC,2056,10.2026
RE1,DEMRESELC,RESELC,2057,10.3164
RE1,DEMRESELC,RESELC,2058,10.4315
RE1,DEMRESELC,RESELC,2059,23.6753
RE1,DEMRESELC,RESELC,2060,8.5841
RE1,DEMRESELC,RESELC,2061,10.7845
RE1,DEMRESELC,RESELC,2062,10.9048
RE1,DEMRESELC,RESELC,2063,11.0264
RE1,DEMRESELC,RESELC,2064,11.1494
RE1,DEMRESELC,RESELC,2065,11.2738
RE1,DEMRESELC,RESELC,2066,11.3995
RE1,DEMRESELC,RESELC,2067,11.5267
RE1,DEMRESELC,RESELC,2068,11.6553
RE1,DEMRESELC,RESELC,2069,11.7853
RE1,DEMRESELC,RESELC,2070,53.4693
RE1,DEMRESHEBIO,RESHEL,2015,84.5683
RE1,DEMRESHEBIO,RESHEL,2016,80.3936
RE1,DEMRESHEBIO,RESHEL,2017,81.5773
RE1,DEMRESHEBIO,RESHEL,2018,84.502
RE1,DEMRESHEBIO,RESHEL,2019,86.6177
RE1,DEMRESHEBIO,RESHEL,2020,88.7281
RE1,DEMRESHEBIO,RESHEL,2021,90.2975
RE1,DEMRESHEBIO,RESHEL,2022,91.8632
RE1,DEMRESHEBIO,RESHEL,2023,93.4254
RE1,DEMRESHEBIO,RESHEL,2024,94.9844
RE1,DEMRESHEBIO,RESHEL,2025,96.5403
