r,t,y,TotalTechnologyAnnualActivity
RE1,MINCOA,2031,1218.019
RE1,MINCOA,2032,1235.5037
RE1,MINCOA,2033,1252.9885
RE1,MINCOA,2034,1270.4732
RE1,MINCOA,2035,1287.958
RE1,MINCOA,2036,1133.1572
RE1,MINCOA,2037,1150.6419
RE1,MINCOA,2038,1168.1266
RE1,MINCOA,2039,1185.6114
RE1,MINCOA,2040,1203.0961
RE1,MINCOA,2041,1220.5809
RE1,MINCOA,2042,869.6716
RE1,MINCOA,2059,-0.0
RE1,MINCOA,2061,-0.0
RE1,IMPLFO,2015,4971.8064
RE1,IMPLFO,2016,4965.6675
RE1,IMPLFO,2017,4963.433
RE1,IMPLFO,2018,4957.9118
RE1,IMPLFO,2019,4954.9689
RE1,IMPLFO,2020,4952.0353
RE1,IMPLFO,2021,4950.0332
RE1,IMPLFO,2022,5113.4956
RE1,IMPLFO,2023,5265.0564
RE1,IMPLFO,2024,5416.6228
RE1,IMPLFO,2025,5538.0098
RE1,IMPLFO,2026,4925.1792
RE1,IMPLFO,2027,4380.2933
RE1,IMPLFO,2028,3888.0576
RE1,IMPLFO,2029,3542.3297
RE1,IMPLFO,2030,3237.9463
RE1,IMPLFO,2031,3054.3623
RE1,IMPLFO,2032,2782.0834
RE1,IMPLFO,2033,2542.3219
RE1,IMPLFO,2034,2284.211
RE1,IMPLFO,2035,2033.3402
RE1,IMPLFO,2036,1938.4062
RE1,IMPLFO,2037,1681.5261
RE1,IMPLFO,2038,1518.4665
RE1,IMPLFO,2039,1233.6409
RE1,IMPLFO,2040,1079.0869
RE1,IMPLFO,2041,926.0378
RE1,IMPLFO,2042,774.4826
RE1,IMPLFO,2043,654.6937
RE1,IMPLFO,2044,861.3066
RE1,IMPLFO,2045,714.1668
RE1,IMPLFO,2046,568.4767
RE1,IMPLFO,2047,424.2258
RE1,IMPLFO,2048,281.4031
RE1,IMPLFO,2049,139.998
RE1,IMPLFO,2058,-0.0
RE1,IMPHFO,2058,-0.0
RE1,IMPHFO,2059,0.0
RE1,IMPHFO,2061,0.0
RE1,UPSREF001,2025,428.33
RE1,UPSREF001,2026,428.33
RE1,UPSREF001,2027,428.33
RE1,UPSREF001,2028,428.33
RE1,UPSREF001,2029,428.33
RE1,UPSREF001,2030,428.33
RE1,UPSREF001,2031,428.33
RE1,UPSREF001,2032,428.33
RE1,UPSREF001,2033,428.33
RE1,UPSREF001,2034,428.33
RE1,UPSREF001,2035,428.33
RE1,UPSREF001,2036,428.33
RE1,UPSREF001,2037,428.33
RE1,UPSREF001,2038,428.33
RE1,UPSREF001,2039,428.33
RE1,UPSREF001,2040,428.33
RE1,UPSREF001,2041,428.33
RE1,UPSREF001,2042,428.33
RE1,UPSREF001,2043,394.6817
RE1,UPSREF001,2051,0.0
RE1,UPSREF001,2052,0.0
RE1,UPSREF001,2053,0.0
RE1,UPSREF001,2054,0.0
RE1,UPSREF001,2055,0.0
RE1,UPSREF001,2056,0.0
RE1,UPSREF001,2057,-0.0
RE1,UPSREF001,2058,0.0
RE1,UPSREF001,2059,0.0
RE1,UPSREF001,2060,0.0
RE1,UPSREF001,2061,0.0
RE1,UPSREF001,2062,0.0
RE1,UPSREF001,2063,0.0
RE1,UPSREF001,2064,0.0
RE1,UPSREF001,2065,-0.0
RE1,UPSREF001,2070,0.0
RE1,UPSREF002,2050,-0.0
RE1,UPSREF002,2051,-0.0
RE1,UPSREF002,2052,-0.0
RE1,UPSREF002,2053,-0.0
RE1,UPSREF002,2054,-0.0
RE1,UPSREF002,2055,-0.0
RE1,UPSREF002,2056,-0.0
RE1,UPSREF002,2057,0.0
RE1,UPSREF002,2058,-0.0
RE1,UPSREF002,2059,-0.0
RE1,UPSREF002,2060,-0.0
RE1,UPSREF002,2061,-0.0
RE1,UPSREF002,2062,-0.0
RE1,UPSREF002,2063,-0.0
RE1,UPSREF002,2064,-0.0
RE1,UPSREF002,2070,-0.0
RE1,IMPNGS,2015,846.9226
RE1,IMPNGS,2016,689.5343
RE1,IMPNGS,2026,1123.2011
RE1,IMPNGS,2027,1528.4774
RE1,IMPNGS,2028,1868.7879
RE1,IMPNGS,2029,2021.0542
RE1,IMPNGS,2030,2140.42
RE1,IMPNGS,2031,2288.878
RE1,IMPNGS,2032,2444.9525
RE1,IMPNGS,2033,2575.2435
RE1,IMPNGS,2034,2720.7049
RE1,IMPNGS,2035,2785.1391
RE1,IMPNGS,2036,2785.139
RE1,IMPNGS,2037,2785.139
RE1,IMPNGS,2038,2695.6146
RE1,IMPNGS,2039,2663.2158
RE1,IMPNGS,2040,2536.3553
RE1,IMPNGS,2041,2321.0484
RE1,IMPNGS,2042,2111.1076
RE1,IMPNGS,2043,1725.0666
RE1,IMPNGS,2044,1457.6265
RE1,IMPNGS,2045,1160.7947
RE1,IMPNGS,2046,867.7916
RE1,IMPNGS,2047,585.43
RE1,IMPNGS,2048,287.8431
RE1,IMPNGS,2062,-0.0
RE1,IMPNGS,2069,0.0002
RE1,MINNGS,2016,150.4732
RE1,MINNGS,2017,786.5635
RE1,MINNGS,2018,756.5539
RE1,MINNGS,2019,751.5096
RE1,MINNGS,2020,741.8236
RE1,MINNGS,2021,731.0347
RE1,MINNGS,2022,846.9226
RE1,MINNGS,2023,846.9226
RE1,MINNGS,2024,846.9226
RE1,MINNGS,2025,741.2735
RE1,MINSOL,2015,8.5316
RE1,MINSOL,2016,14.7631
RE1,MINSOL,2017,16.2722
RE1,MINSOL,2018,17.8654
RE1,MINSOL,2019,17.9916
RE1,MINSOL,2020,17.9916
RE1,MINSOL,2021,18.4546
RE1,MINSOL,2022,18.4546
RE1,MINSOL,2023,18.4546
RE1,MINSOL,2024,18.4546
RE1,MINSOL,2025,28.4747
RE1,MINSOL,2026,38.4949
RE1,MINSOL,2027,48.5151
RE1,MINSOL,2028,58.5353
RE1,MINSOL,2029,68.5555
RE1,MINSOL,2030,78.5756
RE1,MINSOL,2031,88.5958
RE1,MINSOL,2032,98.616
RE1,MINSOL,2033,108.6362
RE1,MINSOL,2034,118.6564
RE1,MINSOL,2035,120.1724
RE1,MINSOL,2036,123.9611
RE1,MINSOL,2037,132.4722
RE1,MINSOL,2038,140.8992
RE1,MINSOL,2039,150.7931
RE1,MINSOL,2040,150.7931
RE1,MINSOL,2041,150.3302
RE1,MINSOL,2042,150.3302
RE1,MINSOL,2043,150.3302
RE1,MINSOL,2044,150.3027
RE1,MINSOL,2045,150.3027
RE1,MINSOL,2046,150.3027
RE1,MINSOL,2047,150.3027
RE1,MINSOL,2048,150.3027
RE1,MINSOL,2049,143.2886
RE1,MINSOL,2050,136.2745
RE1,MINSOL,2051,129.2603
RE1,MINSOL,2052,122.2462
RE1,MINSOL,2053,115.2321
RE1,MINSOL,2054,138.4084
RE1,MINSOL,2055,146.2947
RE1,MINSOL,2056,139.2805
RE1,MINSOL,2057,132.2664
RE1,MINSOL,2058,125.2523
RE1,MINSOL,2059,118.2382
RE1,MINSOL,2060,108.218
RE1,MINSOL,2061,104.2099
RE1,MINSOL,2062,97.1958
RE1,MINSOL,2063,90.1816
RE1,MINSOL,2064,90.1816
RE1,MINSOL,2065,90.1816
RE1,MINSOL,2066,90.1816
RE1,MINSOL,2067,90.1816
RE1,MINSOL,2068,90.1816
RE1,MINSOL,2069,90.1816
RE1,MINSOL,2070,90.1816
RE1,MINWND,2015,1.1746
RE1,MINWND,2016,2.545
RE1,MINWND,2017,3.1524
RE1,MINWND,2018,5.5368
RE1,MINWND,2019,7.5648
RE1,MINWND,2020,7.5648
RE1,MINWND,2021,7.7555
RE1,MINWND,2022,7.7555
RE1,MINWND,2023,7.7555
RE1,MINWND,2024,7.7555
RE1,MINWND,2025,22.9855
RE1,MINWND,2026,38.2155
RE1,MINWND,2027,53.4455
RE1,MINWND,2028,68.6754
RE1,MINWND,2029,83.9054
RE1,MINWND,2030,99.1354
RE1,MINWND,2031,114.3654
RE1,MINWND,2032,129.5954
RE1,MINWND,2033,144.8253
RE1,MINWND,2034,160.0553
RE1,MINWND,2035,175.2853
RE1,MINWND,2036,189.1449
RE1,MINWND,2037,204.3749
RE1,MINWND,2038,219.6048
RE1,MINWND,2039,234.8348
RE1,MINWND,2040,234.8348
RE1,MINWND,2041,234.8348
RE1,MINWND,2042,234.8348
RE1,MINWND,2043,234.8348
RE1,MINWND,2044,234.8348
RE1,MINWND,2045,234.8348
RE1,MINWND,2046,234.8348
RE1,MINWND,2047,230.9947
RE1,MINWND,2048,230.4576
RE1,MINWND,2049,230.4576
RE1,MINWND,2050,228.4497
RE1,MINWND,2051,228.4497
RE1,MINWND,2052,228.4497
RE1,MINWND,2053,228.4497
RE1,MINWND,2054,228.4497
RE1,MINWND,2055,213.2197
RE1,MINWND,2056,197.9897
RE1,MINWND,2057,182.7597
RE1,MINWND,2058,167.5298
RE1,MINWND,2059,152.2998
RE1,MINWND,2060,137.0698
RE1,MINWND,2061,121.8398
RE1,MINWND,2062,106.6098
RE1,MINWND,2063,91.3799
RE1,MINWND,2064,76.1499
RE1,MINWND,2065,60.9199
RE1,MINWND,2066,45.6899
RE1,MINWND,2067,30.46
RE1,MINWND,2068,15.23
RE1,MINWND,2069,30.1022
RE1,MINWND,2070,188.034
RE1,IMPURN,2035,171.0156
RE1,IMPURN,2036,342.0313
RE1,IMPURN,2037,598.5547
RE1,IMPURN,2038,855.0782
RE1,IMPURN,2039,1197.1094
RE1,IMPURN,2040,1539.1407
RE1,IMPURN,2041,1966.6797
RE1,IMPURN,2042,2479.7266
RE1,IMPURN,2043,3078.2813
RE1,IMPURN,2044,3762.3438
RE1,IMPURN,2045,4446.4064
RE1,IMPURN,2046,5130.4689
RE1,IMPURN,2047,5814.5314
RE1,IMPURN,2048,6498.5939
RE1,IMPURN,2049,7182.6564
RE1,IMPURN,2050,7445.9502
RE1,IMPURN,2051,7650.7415
RE1,IMPURN,2052,7752.6131
RE1,IMPURN,2053,7855.0957
RE1,IMPURN,2054,7866.719
RE1,IMPURN,2055,7861.5186
RE1,IMPURN,2056,7860.7178
RE1,IMPURN,2057,7858.3981
RE1,IMPURN,2058,7857.9014
RE1,IMPURN,2059,7863.9272
RE1,IMPURN,2060,7866.4896
RE1,IMPURN,2061,7866.719
RE1,IMPURN,2062,7866.719
RE1,IMPURN,2063,7866.719
RE1,IMPURN,2064,7866.719
RE1,IMPURN,2065,7866.719
RE1,IMPURN,2066,7866.719
RE1,IMPURN,2067,7866.719
RE1,IMPURN,2068,7866.719
RE1,IMPURN,2069,7866.719
RE1,IMPURN,2070,7722.3292
RE1,MINGEO,2025,1.4486
RE1,MINGEO,2026,1.4486
RE1,MINGEO,2027,1.4486
RE1,MINGEO,2028,1.4486
RE1,MINGEO,2029,1.4486
RE1,MINGEO,2030,1.4486
RE1,MINGEO,2031,1.4486
RE1,MINGEO,2032,1.4486
RE1,MINGEO,2033,1.4486
RE1,MINGEO,2034,1.4486
RE1,MINGEO,2035,1.4486
RE1,MINGEO,2036,1.4486
RE1,MINGEO,2037,1.4486
RE1,MINGEO,2038,1.4486
RE1,MINGEO,2039,1.4486
RE1,MINGEO,2040,1.4486
RE1,MINGEO,2041,1.4486
RE1,MINGEO,2042,1.4486
RE1,MINGEO,2043,1.4486
RE1,MINGEO,2044,1.4486
RE1,MINGEO,2045,1.4486
RE1,MINGEO,2046,1.4486
RE1,MINGEO,2047,1.4486
RE1,MINGEO,2048,1.4486
RE1,MINGEO,2049,1.4486
RE1,MINGEO,2050,1.4486
RE1,MINGEO,2051,1.4486
RE1,MINGEO,2052,1.4486
RE1,MINGEO,2053,1.4486
RE1,MINGEO,2054,1.4486
RE1,MINGEO,2055,1.4486
RE1,MINGEO,2056,1.4486
RE1,MINGEO,2057,1.4486
RE1,MINGEO,2058,1.4486
RE1,MINGEO,2059,1.4486
RE1,MINGEO,2060,1.4486
RE1,MINGEO,2061,1.4486
RE1,MINGEO,2062,1.4486
RE1,MINGEO,2063,1.4486
RE1,MINGEO,2064,1.4486
RE1,MINGEO,2065,1.4486
RE1,MINGEO,2066,1.4486
RE1,MINGEO,2067,1.4486
RE1,MINGEO,2068,1.4486
RE1,MINGEO,2069,1.4486
RE1,MINGEO,2070,1.4486
RE1,MINHYD,2015,29.4911
RE1,MINHYD,2016,29.4911
RE1,MINHYD,2017,29.4911
RE1,MINHYD,2018,29.4911
RE1,MINHYD,2019,29.4911
RE1,MINHYD,2020,29.4911
RE1,MINHYD,2021,29.4911
RE1,MINHYD,2022,29.4911
RE1,MINHYD,2023,29.4911
RE1,MINHYD,2024,29.4911
RE1,MINHYD,2025,40.8218
RE1,MINHYD,2026,40.8218
RE1,MINHYD,2027,40.8218
RE1,MINHYD,2028,40.8218
RE1,MINHYD,2029,40.8218
RE1,MINHYD,2030,40.8218
RE1,MINHYD,2031,40.8218
RE1,MINHYD,2032,40.8218
RE1,MINHYD,2033,40.8218
RE1,MINHYD,2034,40.8218
RE1,MINHYD,2035,40.8218
RE1,MINHYD,2036,40.8218
RE1,MINHYD,2037,40.8218
RE1,MINHYD,2038,40.8218
RE1,MINHYD,2039,40.8218
RE1,MINHYD,2040,40.8218
RE1,MINHYD,2041,40.8218
RE1,MINHYD,2042,40.8218
RE1,MINHYD,2043,40.8218
RE1,MINHYD,2044,40.8218
RE1,MINHYD,2045,40.8218
RE1,MINHYD,2046,40.8218
RE1,MINHYD,2047,40.8218
RE1,MINHYD,2048,40.8218
RE1,MINHYD,2049,40.8218
RE1,MINHYD,2050,40.8218
RE1,MINHYD,2051,11.3307
RE1,MINHYD,2052,11.3307
RE1,MINHYD,2053,11.3307
RE1,MINHYD,2054,11.3307
RE1,MINHYD,2055,11.3307
RE1,MINHYD,2056,11.3307
RE1,MINHYD,2057,11.3307
RE1,MINHYD,2058,11.3307
RE1,MINHYD,2059,11.3307
RE1,MINHYD,2060,11.3307
RE1,MINHYD,2061,11.3307
RE1,MINHYD,2062,11.3307
RE1,MINHYD,2063,11.3307
RE1,MINHYD,2064,11.3307
RE1,MINHYD,2065,-0.0
RE1,MINHYD,2066,-0.0
RE1,MINHYD,2067,-0.0
RE1,MINHYD,2068,-0.0
RE1,MINHYD,2069,-0.0
RE1,MINHYD,2070,-0.0
RE1,PWRBIO001,2015,65.3647
RE1,PWRBIO001,2016,74.7151
RE1,PWRBIO001,2017,84.0435
RE1,PWRBIO001,2018,88.6748
RE1,PWRBIO001,2019,88.6748
RE1,PWRBIO001,2020,93.3938
RE1,PWRBIO001,2021,98.069
RE1,PWRBIO001,2022,98.069
RE1,PWRBIO001,2023,98.069
RE1,PWRBIO001,2024,98.069
RE1,PWRBIO001,2025,103.3368
RE1,PWRBIO001,2026,108.6046
RE1,PWRBIO001,2027,113.8724
RE1,PWRBIO001,2028,119.1403
RE1,PWRBIO001,2029,124.4081
RE1,PWRBIO001,2030,129.6759
RE1,PWRBIO001,2031,69.579
RE1,PWRBIO001,2032,74.8468
RE1,PWRBIO001,2033,80.1146
RE1,PWRBIO001,2034,85.3824
RE1,PWRBIO001,2035,90.6502
RE1,PWRBIO001,2036,97.8934
RE1,PWRBIO001,2037,105.1367
RE1,PWRBIO001,2038,112.3799
RE1,PWRBIO001,2039,119.6231
RE1,PWRBIO001,2040,119.6231
RE1,PWRBIO001,2041,119.6231
RE1,PWRBIO001,2042,119.6231
RE1,PWRBIO001,2043,119.6231
RE1,PWRBIO001,2044,119.6231
RE1,PWRBIO001,2045,119.6231
RE1,PWRBIO001,2046,110.2728
RE1,PWRBIO001,2047,100.9444
RE1,PWRBIO001,2048,96.3131
RE1,PWRBIO001,2049,96.3131
RE1,PWRBIO001,2050,86.3262
RE1,PWRBIO001,2051,76.3832
RE1,PWRBIO001,2052,71.1154
RE1,PWRBIO001,2053,65.8476
RE1,PWRBIO001,2054,60.5798
RE1,PWRBIO001,2055,55.312
RE1,PWRBIO001,2056,50.0442
RE1,PWRBIO001,2057,44.7764
RE1,PWRBIO001,2058,39.5086
RE1,PWRBIO001,2059,34.2408
RE1,PWRBIO001,2060,28.9729
RE1,PWRBIO001,2061,21.7297
RE1,PWRBIO001,2062,14.4865
RE1,PWRBIO001,2063,7.2432
RE1,PWRBIO001,2065,19.5767
RE1,PWRBIO001,2066,50.7312
RE1,PWRBIO001,2067,82.0671
RE1,PWRBIO001,2068,113.5864
RE1,PWRBIO001,2069,113.5864
RE1,PWRBIO001,2070,113.5864
RE1,PWRCOA001,2015,85.3667
RE1,PWRCOA001,2016,85.3667
RE1,PWRCOA001,2017,85.3667
RE1,PWRCOA001,2018,85.3667
RE1,PWRCOA001,2019,85.3667
RE1,PWRCOA001,2020,85.3667
RE1,PWRCOA001,2021,85.3667
RE1,PWRCOA001,2022,85.3667
RE1,PWRCOA001,2023,85.3667
RE1,PWRCOA001,2024,85.3667
RE1,PWRCOA001,2025,85.3667
RE1,PWRCOA001,2026,99.4769
RE1,PWRCOA001,2027,99.4769
RE1,PWRCOA001,2028,99.4769
RE1,PWRCOA001,2029,99.4769
RE1,PWRCOA001,2030,99.4769
RE1,PWRCOA001,2031,99.4769
RE1,PWRCOA001,2032,99.4769
RE1,PWRCOA001,2033,99.4769
RE1,PWRCOA001,2034,99.4769
RE1,PWRCOA001,2035,99.4769
RE1,PWRCOA001,2036,47.7395
RE1,PWRCOA001,2037,47.7395
RE1,PWRCOA001,2038,47.7395
RE1,PWRCOA001,2039,47.7395
RE1,PWRCOA001,2040,47.7395
RE1,PWRCOA001,2041,47.7395
RE1,PWRCOA001,2042,14.1102
RE1,PWRCOA001,2043,14.1102
RE1,PWRCOA001,2044,14.1102
RE1,PWRCOA001,2045,14.1102
RE1,PWRCOA001,2046,14.1102
RE1,PWRCOA001,2047,14.1102
RE1,PWRCOA001,2048,14.1102
RE1,PWRCOA001,2049,10.5357
RE1,PWRCOA001,2053,-0.0
RE1,PWRCOA001,2054,-0.0
RE1,PWRCOA001,2055,10.5826
RE1,PWRCOA001,2056,10.0119
RE1,PWRCOA001,2057,9.1835
RE1,PWRCOA001,2058,9.0258
RE1,PWRCOA001,2059,12.3464
RE1,PWRCOA001,2061,0.0
RE1,PWRGEO,2025,0.1449
RE1,PWRGEO,2026,0.1449
RE1,PWRGEO,2027,0.1449
RE1,PWRGEO,2028,0.1449
RE1,PWRGEO,2029,0.1449
RE1,PWRGEO,2030,0.1449
RE1,PWRGEO,2031,0.1449
RE1,PWRGEO,2032,0.1449
RE1,PWRGEO,2033,0.1449
RE1,PWRGEO,2034,0.1449
RE1,PWRGEO,2035,0.1449
RE1,PWRGEO,2036,0.1449
RE1,PWRGEO,2037,0.1449
RE1,PWRGEO,2038,0.1449
RE1,PWRGEO,2039,0.1449
RE1,PWRGEO,2040,0.1449
RE1,PWRGEO,2041,0.1449
RE1,PWRGEO,2042,0.1449
RE1,PWRGEO,2043,0.1449
RE1,PWRGEO,2044,0.1449
RE1,PWRGEO,2045,0.1449
RE1,PWRGEO,2046,0.1449
RE1,PWRGEO,2047,0.1449
RE1,PWRGEO,2048,0.1449
RE1,PWRGEO,2049,0.1449
RE1,PWRGEO,2050,0.1449
RE1,PWRGEO,2051,0.1449
RE1,PWRGEO,2052,0.1449
RE1,PWRGEO,2053,0.1449
RE1,PWRGEO,2054,0.1449
RE1,PWRGEO,2055,0.1449
RE1,PWRGEO,2056,0.1449
RE1,PWRGEO,2057,0.1449
RE1,PWRGEO,2058,0.1449
RE1,PWRGEO,2059,0.1449
RE1,PWRGEO,2060,0.1449
RE1,PWRGEO,2061,0.1449
RE1,PWRGEO,2062,0.1449
RE1,PWRGEO,2063,0.1449
RE1,PWRGEO,2064,0.1449
RE1,PWRGEO,2065,0.1449
RE1,PWRGEO,2066,0.1449
RE1,PWRGEO,2067,0.1449
RE1,PWRGEO,2068,0.1449
RE1,PWRGEO,2069,0.1449
RE1,PWRGEO,2070,0.1449
RE1,PWROHC001,2049,-0.0
RE1,PWROHC001,2051,-0.0
RE1,PWROHC001,2052,-0.0
RE1,PWROHC001,2053,-0.0
RE1,PWROHC001,2054,-0.0
RE1,PWROHC001,2055,-0.0
RE1,PWROHC001,2056,-0.0
RE1,PWROHC001,2058,-0.0
RE1,PWROHC001,2059,0.0
RE1,PWROHC001,2060,-0.0
RE1,PWROHC001,2061,-0.0
RE1,PWROHC001,2062,-0.0
RE1,PWROHC001,2063,-0.0
RE1,PWROHC001,2064,-0.0
RE1,PWROHC001,2066,-0.0
RE1,PWROHC001,2070,-0.0
RE1,PWROHC002,2025,17.1332
RE1,PWROHC002,2026,17.1332
RE1,PWROHC002,2027,17.1332
RE1,PWROHC002,2028,17.1332
RE1,PWROHC002,2029,17.1332
RE1,PWROHC002,2030,17.1332
RE1,PWROHC002,2031,17.1332
RE1,PWROHC002,2032,17.1332
RE1,PWROHC002,2033,17.1332
RE1,PWROHC002,2034,17.1332
RE1,PWROHC002,2035,17.1332
RE1,PWROHC002,2036,17.1332
RE1,PWROHC002,2037,17.1332
RE1,PWROHC002,2038,17.1332
RE1,PWROHC002,2039,17.1332
RE1,PWROHC002,2040,17.1332
RE1,PWROHC002,2041,17.1332
RE1,PWROHC002,2042,17.1332
RE1,PWROHC002,2043,15.7873
RE1,PWROHC002,2050,-0.0
RE1,PWROHC002,2052,-0.0
RE1,PWROHC002,2056,-0.0
RE1,PWROHC002,2057,0.0
RE1,PWROHC002,2058,-0.0
RE1,PWROHC002,2059,-0.0
RE1,PWROHC002,2060,-0.0
RE1,PWROHC002,2062,-0.0
RE1,PWROHC002,2063,-0.0
RE1,PWROHC002,2064,-0.0
RE1,PWROHC002,2070,-0.0
RE1,PWRNGS001,2015,467.9131
RE1,PWRNGS001,2016,464.0925
RE1,PWRNGS001,2017,434.5655
RE1,PWRNGS001,2018,417.9856
RE1,PWRNGS001,2019,415.1987
RE1,PWRNGS001,2020,409.8473
RE1,PWRNGS001,2021,403.8866
RE1,PWRNGS001,2022,467.9131
RE1,PWRNGS001,2023,467.9131
RE1,PWRNGS001,2024,467.9131
RE1,PWRNGS001,2025,271.8628
RE1,PWRNGS001,2026,345.1919
RE1,PWRNGS001,2027,431.421
RE1,PWRNGS001,2028,515.5115
RE1,PWRNGS001,2029,599.6365
RE1,PWRNGS001,2030,665.5844
RE1,PWRNGS001,2031,747.6054
RE1,PWRNGS001,2032,833.8345
RE1,PWRNGS001,2033,905.8184
RE1,PWRNGS001,2034,986.1839
RE1,PWRNGS001,2035,1021.7828
RE1,PWRNGS001,2036,1021.7828
RE1,PWRNGS001,2037,1021.7828
RE1,PWRNGS001,2038,972.3218
RE1,PWRNGS001,2039,972.3218
RE1,PWRNGS001,2040,960.1808
RE1,PWRNGS001,2041,953.0755
RE1,PWRNGS001,2042,953.0755
RE1,PWRNGS001,2043,953.0755
RE1,PWRNGS001,2044,805.3185
RE1,PWRNGS001,2045,641.323
RE1,PWRNGS001,2046,479.4428
RE1,PWRNGS001,2047,323.442
RE1,PWRNGS001,2048,159.0293
RE1,PWRNGS001,2049,0.0
RE1,PWRNGS001,2053,-0.0
RE1,PWRNGS001,2055,0.0
