r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINNGS,1,2016,651.4837
RE1,MINNGS,1,2017,598.0397
RE1,MINNGS,1,2018,568.0301
RE1,MINNGS,1,2019,562.9858
RE1,MINNGS,1,2020,553.2998
RE1,MINNGS,1,2021,542.5109
RE1,MINNGS,1,2022,909.3524
RE1,MINNGS,1,2023,909.3524
RE1,MINNGS,1,2024,398.427
RE1,MINNGS,1,2041,36.4778
RE1,MINNGS,1,2042,110.4734
RE1,MINNGS,1,2043,156.3458
RE1,MINNGS,1,2044,112.3736
RE1,MINNGS,1,2045,62.4298
RE1,MINNGS,1,2046,62.4298
RE1,MINNGS,1,2047,62.4298
RE1,MINNGS,1,2048,62.4298
RE1,MINNGS,1,2049,62.4298
RE1,MINNGS,1,2050,62.2784
RE1,MINNGS,1,2051,56.5844
RE1,MINNGS,1,2052,56.1656
RE1,MINSOL,1,2015,8.5316
RE1,MINSOL,1,2016,14.7631
RE1,MINSOL,1,2017,16.2722
RE1,MINSOL,1,2018,17.8654
RE1,MINSOL,1,2019,17.9916
RE1,MINSOL,1,2020,17.9916
RE1,MINSOL,1,2021,18.4546
RE1,MINSOL,1,2022,18.4546
RE1,MINSOL,1,2023,18.4546
RE1,MINSOL,1,2024,18.4546
RE1,MINSOL,1,2025,18.4546
RE1,MINSOL,1,2026,18.4546
RE1,MINSOL,1,2027,18.4546
RE1,MINSOL,1,2028,18.4546
RE1,MINSOL,1,2029,18.4546
RE1,MINSOL,1,2030,18.4546
RE1,MINSOL,1,2031,18.4546
RE1,MINSOL,1,2032,18.4546
RE1,MINSOL,1,2033,18.4546
RE1,MINSOL,1,2034,18.4546
RE1,MINSOL,1,2035,9.9504
RE1,MINSOL,1,2036,3.7189
RE1,MINSOL,1,2037,2.2098
RE1,MINSOL,1,2038,0.6166
RE1,MINSOL,1,2039,0.4904
RE1,MINSOL,1,2040,0.4904
RE1,MINSOL,1,2041,0.0274
RE1,MINSOL,1,2042,0.0274
RE1,MINSOL,1,2043,0.0274
RE1,MINWND,1,2015,1.1746
RE1,MINWND,1,2016,2.545
RE1,MINWND,1,2017,3.1524
RE1,MINWND,1,2018,5.5368
RE1,MINWND,1,2019,7.5648
RE1,MINWND,1,2020,7.5648
RE1,MINWND,1,2021,7.7555
RE1,MINWND,1,2022,7.7555
RE1,MINWND,1,2023,7.7555
RE1,MINWND,1,2024,7.7555
RE1,MINWND,1,2025,7.7555
RE1,MINWND,1,2026,7.7555
RE1,MINWND,1,2027,7.7555
RE1,MINWND,1,2028,7.7555
RE1,MINWND,1,2029,7.7555
RE1,MINWND,1,2030,7.7555
RE1,MINWND,1,2031,7.7555
RE1,MINWND,1,2032,7.7555
RE1,MINWND,1,2033,7.7555
RE1,MINWND,1,2034,7.7555
RE1,MINWND,1,2035,7.7555
RE1,MINWND,1,2036,6.3851
RE1,MINWND,1,2037,6.3851
RE1,MINWND,1,2038,6.3851
RE1,MINWND,1,2039,6.3851
RE1,MINWND,1,2040,6.3851
RE1,MINWND,1,2041,6.3851
RE1,MINWND,1,2042,6.3851
RE1,MINWND,1,2043,6.3851
RE1,MINWND,1,2044,6.3851
RE1,MINWND,1,2045,6.3851
RE1,MINWND,1,2046,6.3851
RE1,MINWND,1,2047,2.545
RE1,MINWND,1,2048,2.0079
RE1,MINWND,1,2049,2.0079
RE1,MINHYD,1,2015,29.4911
RE1,MINHYD,1,2016,29.4911
RE1,MINHYD,1,2017,29.4911
RE1,MINHYD,1,2018,29.4911
RE1,MINHYD,1,2019,29.4911
RE1,MINHYD,1,2020,29.4911
RE1,MINHYD,1,2021,29.4911
RE1,MINHYD,1,2022,29.4911
RE1,MINHYD,1,2023,29.4911
RE1,MINHYD,1,2024,29.4911
RE1,MINHYD,1,2025,29.4911
RE1,MINHYD,1,2026,29.4911
RE1,MINHYD,1,2027,29.4911
RE1,MINHYD,1,2028,29.4911
RE1,MINHYD,1,2029,29.4911
RE1,MINHYD,1,2030,29.4911
RE1,MINHYD,1,2031,29.4911
RE1,MINHYD,1,2032,29.4911
RE1,MINHYD,1,2033,29.4911
RE1,MINHYD,1,2034,29.4911
RE1,MINHYD,1,2035,29.4911
RE1,MINHYD,1,2036,29.4911
RE1,MINHYD,1,2037,29.4911
RE1,MINHYD,1,2038,29.4911
RE1,MINHYD,1,2039,29.4911
RE1,MINHYD,1,2040,29.4911
RE1,MINHYD,1,2041,29.4911
RE1,MINHYD,1,2042,29.4911
RE1,MINHYD,1,2043,29.4911
RE1,MINHYD,1,2044,29.4911
RE1,MINHYD,1,2045,29.4911
RE1,MINHYD,1,2046,29.4911
RE1,MINHYD,1,2047,29.4911
RE1,MINHYD,1,2048,29.4911
RE1,MINHYD,1,2049,29.4911
RE1,MINHYD,1,2050,29.4911
RE1,PWRBIO001,1,2015,197.0599
RE1,PWRBIO001,1,2016,140.5627
RE1,PWRBIO001,1,2017,149.8911
RE1,PWRBIO001,1,2018,154.5224
RE1,PWRBIO001,1,2019,154.5224
RE1,PWRBIO001,1,2020,159.2414
RE1,PWRBIO001,1,2021,163.9166
RE1,PWRBIO001,1,2022,163.9166
RE1,PWRBIO001,1,2023,163.9166
RE1,PWRBIO001,1,2024,163.9166
RE1,PWRBIO001,1,2025,163.9166
RE1,PWRBIO001,1,2026,163.9166
RE1,PWRBIO001,1,2027,163.9166
RE1,PWRBIO001,1,2028,163.9166
RE1,PWRBIO001,1,2029,163.9166
RE1,PWRBIO001,1,2030,163.9166
RE1,PWRBIO001,1,2031,98.5519
RE1,PWRBIO001,1,2032,98.5519
RE1,PWRBIO001,1,2033,98.5519
RE1,PWRBIO001,1,2034,98.5519
RE1,PWRBIO001,1,2035,98.5519
RE1,PWRBIO001,1,2036,98.5519
RE1,PWRBIO001,1,2037,98.5519
RE1,PWRBIO001,1,2038,98.5519
RE1,PWRBIO001,1,2039,98.5519
RE1,PWRBIO001,1,2040,98.5519
RE1,PWRBIO001,1,2041,98.5519
RE1,PWRBIO001,1,2042,98.5519
RE1,PWRBIO001,1,2043,98.5519
RE1,PWRBIO001,1,2044,98.5519
RE1,PWRBIO001,1,2045,98.5519
RE1,PWRBIO001,1,2046,89.2016
RE1,PWRBIO001,1,2047,79.8731
RE1,PWRBIO001,1,2048,75.2419
RE1,PWRBIO001,1,2049,75.2419
RE1,PWRBIO001,1,2050,70.5228
RE1,PWRBIO001,1,2051,23.354
RE1,PWRBIO001,1,2052,14.0255
RE1,PWRBIO001,1,2053,9.3943
RE1,PWRBIO001,1,2054,9.3943
RE1,PWRBIO001,1,2055,4.6752
RE1,PWRCOA001,1,2015,123.6759
RE1,PWRCOA001,1,2016,123.6759
RE1,PWRCOA001,1,2017,123.6759
RE1,PWRCOA001,1,2018,123.6759
RE1,PWRCOA001,1,2019,123.6759
RE1,PWRCOA001,1,2020,123.6759
RE1,PWRCOA001,1,2021,123.6759
RE1,PWRCOA001,1,2022,123.6759
RE1,PWRCOA001,1,2023,123.6759
RE1,PWRCOA001,1,2024,123.6759
RE1,PWRCOA001,1,2025,707.8626
RE1,PWRCOA001,1,2026,735.9659
RE1,PWRCOA001,1,2027,764.0509
RE1,PWRCOA001,1,2028,792.1175
RE1,PWRCOA001,1,2029,820.1657
RE1,PWRCOA001,1,2030,848.1956
RE1,PWRCOA001,1,2031,945.6872
RE1,PWRCOA001,1,2032,977.793
RE1,PWRCOA001,1,2033,1009.8779
RE1,PWRCOA001,1,2034,1041.9419
RE1,PWRCOA001,1,2035,1082.4891
RE1,PWRCOA001,1,2036,1115.7113
RE1,PWRCOA001,1,2037,1142.824
RE1,PWRCOA001,1,2038,1170.0041
RE1,PWRCOA001,1,2039,1196.0891
RE1,PWRCOA001,1,2040,1222.0309
RE1,PWRCOA001,1,2041,1227.7172
RE1,PWRCOA001,1,2042,1212.196
RE1,PWRCOA001,1,2043,1212.196
RE1,PWRCOA001,1,2044,1261.8448
RE1,PWRCOA001,1,2045,1314.7489
RE1,PWRCOA001,1,2046,1341.5564
RE1,PWRCOA001,1,2047,1372.1708
RE1,PWRCOA001,1,2048,1394.7736
RE1,PWRCOA001,1,2049,1412.1968
RE1,PWRCOA001,1,2050,1436.4192
RE1,PWRCOA001,1,2051,1534.776
RE1,PWRCOA001,1,2052,1563.0937
RE1,PWRCOA001,1,2053,1617.7228
RE1,PWRCOA001,1,2054,1636.9015
RE1,PWRCOA001,1,2055,1661.0132
RE1,PWRCOA001,1,2056,1685.2974
RE1,PWRCOA001,1,2057,1705.1251
RE1,PWRCOA001,1,2058,1725.174
RE1,PWRCOA001,1,2059,1745.4465
RE1,PWRCOA001,1,2060,1765.9452
RE1,PWRCOA001,1,2061,1786.6725
RE1,PWRCOA001,1,2062,1807.631
RE1,PWRCOA001,1,2063,1828.8233
RE1,PWRCOA001,1,2064,1850.2521
RE1,PWRCOA001,1,2065,1871.9198
RE1,PWRCOA001,1,2066,1893.8293
RE1,PWRCOA001,1,2067,1915.9831
RE1,PWRCOA001,1,2068,1938.3841
RE1,PWRCOA001,1,2069,1961.0349
RE1,PWRCOA001,1,2070,1983.9385
RE1,PWROHC001,1,2023,23.2034
RE1,PWROHC001,1,2024,23.2034
RE1,PWRNGS001,1,2015,333.5193
RE1,PWRNGS001,1,2016,359.9358
RE1,PWRNGS001,1,2017,330.4087
RE1,PWRNGS001,1,2018,313.8288
RE1,PWRNGS001,1,2019,311.0419
RE1,PWRNGS001,1,2020,305.6905
RE1,PWRNGS001,1,2021,299.7298
RE1,PWRNGS001,1,2022,502.4047
RE1,PWRNGS001,1,2023,502.4047
RE1,PWRNGS001,1,2024,220.1254
RE1,PWRNGS001,1,2041,20.1535
RE1,PWRNGS001,1,2042,61.0351
RE1,PWRNGS001,1,2043,86.3789
RE1,PWRNGS001,1,2044,62.0849
RE1,PWRNGS001,1,2045,34.4916
RE1,PWRNGS001,1,2046,34.4916
RE1,PWRNGS001,1,2047,34.4916
RE1,PWRNGS001,1,2048,34.4916
RE1,PWRNGS001,1,2049,34.4916
RE1,PWRNGS001,1,2050,34.408
RE1,PWRNGS001,1,2051,31.2621
RE1,PWRNGS001,1,2052,31.0307
RE1,PWRSOL001,1,2015,8.5041
RE1,PWRSOL001,1,2016,14.7357
RE1,PWRSOL001,1,2017,16.2447
RE1,PWRSOL001,1,2018,17.8379
RE1,PWRSOL001,1,2019,17.9642
RE1,PWRSOL001,1,2020,17.9642
RE1,PWRSOL001,1,2021,18.4271
RE1,PWRSOL001,1,2022,18.4271
RE1,PWRSOL001,1,2023,18.4271
RE1,PWRSOL001,1,2024,18.4271
RE1,PWRSOL001,1,2025,18.4271
RE1,PWRSOL001,1,2026,18.4271
RE1,PWRSOL001,1,2027,18.4271
RE1,PWRSOL001,1,2028,18.4271
RE1,PWRSOL001,1,2029,18.4271
RE1,PWRSOL001,1,2030,18.4271
RE1,PWRSOL001,1,2031,18.4271
RE1,PWRSOL001,1,2032,18.4271
RE1,PWRSOL001,1,2033,18.4271
RE1,PWRSOL001,1,2034,18.4271
RE1,PWRSOL001,1,2035,9.923
RE1,PWRSOL001,1,2036,3.6914
RE1,PWRSOL001,1,2037,2.1824
RE1,PWRSOL001,1,2038,0.5892
RE1,PWRSOL001,1,2039,0.4629
RE1,PWRSOL001,1,2040,0.4629
RE1,PWRCSP002,1,2015,0.0274
RE1,PWRCSP002,1,2016,0.0274
RE1,PWRCSP002,1,2017,0.0274
RE1,PWRCSP002,1,2018,0.0274
RE1,PWRCSP002,1,2019,0.0274
RE1,PWRCSP002,1,2020,0.0274
RE1,PWRCSP002,1,2021,0.0274
RE1,PWRCSP002,1,2022,0.0274
RE1,PWRCSP002,1,2023,0.0274
RE1,PWRCSP002,1,2024,0.0274
RE1,PWRCSP002,1,2025,0.0274
RE1,PWRCSP002,1,2026,0.0274
RE1,PWRCSP002,1,2027,0.0274
RE1,PWRCSP002,1,2028,0.0274
RE1,PWRCSP002,1,2029,0.0274
RE1,PWRCSP002,1,2030,0.0274
RE1,PWRCSP002,1,2031,0.0274
RE1,PWRCSP002,1,2032,0.0274
RE1,PWRCSP002,1,2033,0.0274
RE1,PWRCSP002,1,2034,0.0274
RE1,PWRCSP002,1,2035,0.0274
RE1,PWRCSP002,1,2036,0.0274
RE1,PWRCSP002,1,2037,0.0274
RE1,PWRCSP002,1,2038,0.0274
RE1,PWRCSP002,1,2039,0.0274
RE1,PWRCSP002,1,2040,0.0274
RE1,PWRCSP002,1,2041,0.0274
RE1,PWRCSP002,1,2042,0.0274
RE1,PWRCSP002,1,2043,0.0274
RE1,PWRHYD001,1,2015,28.3385
RE1,PWRHYD001,1,2016,28.3385
RE1,PWRHYD001,1,2017,28.3385
RE1,PWRHYD001,1,2018,28.3385
RE1,PWRHYD001,1,2019,28.3385
RE1,PWRHYD001,1,2020,28.3385
RE1,PWRHYD001,1,2021,28.3385
RE1,PWRHYD001,1,2022,28.3385
RE1,PWRHYD001,1,2023,28.3385
RE1,PWRHYD001,1,2024,28.3385
RE1,PWRHYD001,1,2025,28.3385
RE1,PWRHYD001,1,2026,28.3385
RE1,PWRHYD001,1,2027,28.3385
RE1,PWRHYD001,1,2028,28.3385
RE1,PWRHYD001,1,2029,28.3385
RE1,PWRHYD001,1,2030,28.3385
RE1,PWRHYD001,1,2031,28.3385
RE1,PWRHYD001,1,2032,28.3385
RE1,PWRHYD001,1,2033,28.3385
RE1,PWRHYD001,1,2034,28.3385
RE1,PWRHYD001,1,2035,28.3385
RE1,PWRHYD001,1,2036,28.3385
RE1,PWRHYD001,1,2037,28.3385
RE1,PWRHYD001,1,2038,28.3385
RE1,PWRHYD001,1,2039,28.3385
RE1,PWRHYD001,1,2040,28.3385
RE1,PWRHYD001,1,2041,28.3385
RE1,PWRHYD001,1,2042,28.3385
RE1,PWRHYD001,1,2043,28.3385
RE1,PWRHYD001,1,2044,28.3385
RE1,PWRHYD001,1,2045,28.3385
RE1,PWRHYD001,1,2046,28.3385
RE1,PWRHYD001,1,2047,28.3385
RE1,PWRHYD001,1,2048,28.3385
RE1,PWRHYD001,1,2049,28.3385
RE1,PWRHYD001,1,2050,28.3385
RE1,PWRHYD002,1,2015,1.1525
RE1,PWRHYD002,1,2016,1.1525
RE1,PWRHYD002,1,2017,1.1525
RE1,PWRHYD002,1,2018,1.1525
RE1,PWRHYD002,1,2019,1.1525
RE1,PWRHYD002,1,2020,1.1525
RE1,PWRHYD002,1,2021,1.1525
RE1,PWRHYD002,1,2022,1.1525
RE1,PWRHYD002,1,2023,1.1525
RE1,PWRHYD002,1,2024,1.1525
RE1,PWRHYD002,1,2025,1.1525
RE1,PWRHYD002,1,2026,1.1525
RE1,PWRHYD002,1,2027,1.1525
RE1,PWRHYD002,1,2028,1.1525
RE1,PWRHYD002,1,2029,1.1525
RE1,PWRHYD002,1,2030,1.1525
RE1,PWRHYD002,1,2031,1.1525
RE1,PWRHYD002,1,2032,1.1525
RE1,PWRHYD002,1,2033,1.1525
RE1,PWRHYD002,1,2034,1.1525
RE1,PWRHYD002,1,2035,1.1525
RE1,PWRHYD002,1,2036,1.1525
RE1,PWRHYD002,1,2037,1.1525
RE1,PWRHYD002,1,2038,1.1525
RE1,PWRHYD002,1,2039,1.1525
RE1,PWRHYD002,1,2040,1.1525
RE1,PWRHYD002,1,2041,1.1525
RE1,PWRHYD002,1,2042,1.1525
RE1,PWRHYD002,1,2043,1.1525
RE1,PWRHYD002,1,2044,1.1525
RE1,PWRHYD002,1,2045,1.1525
RE1,PWRHYD002,1,2046,1.1525
RE1,PWRHYD002,1,2047,1.1525
RE1,PWRHYD002,1,2048,1.1525
RE1,PWRHYD002,1,2049,1.1525
RE1,PWRHYD002,1,2050,1.1525
RE1,PWRWND001,1,2015,1.1746
RE1,PWRWND001,1,2016,2.545
RE1,PWRWND001,1,2017,3.1524
RE1,PWRWND001,1,2018,5.5368
RE1,PWRWND001,1,2019,7.5648
RE1,PWRWND001,1,2020,7.5648
RE1,PWRWND001,1,2021,7.7555
RE1,PWRWND001,1,2022,7.7555
RE1,PWRWND001,1,2023,7.7555
RE1,PWRWND001,1,2024,7.7555
RE1,PWRWND001,1,2025,7.7555
RE1,PWRWND001,1,2026,7.7555
RE1,PWRWND001,1,2027,7.7555
RE1,PWRWND001,1,2028,7.7555
RE1,PWRWND001,1,2029,7.7555
RE1,PWRWND001,1,2030,7.7555
RE1,PWRWND001,1,2031,7.7555
RE1,PWRWND001,1,2032,7.7555
RE1,PWRWND001,1,2033,7.7555
RE1,PWRWND001,1,2034,7.7555
RE1,PWRWND001,1,2035,7.7555
RE1,PWRWND001,1,2036,6.3851
RE1,PWRWND001,1,2037,6.3851
RE1,PWRWND001,1,2038,6.3851
RE1,PWRWND001,1,2039,6.3851
RE1,PWRWND001,1,2040,6.3851
RE1,PWRWND001,1,2041,6.3851
RE1,PWRWND001,1,2042,6.3851
RE1,PWRWND001,1,2043,6.3851
RE1,PWRWND001,1,2044,6.3851
RE1,PWRWND001,1,2045,6.3851
RE1,PWRWND001,1,2046,6.3851
RE1,PWRWND001,1,2047,2.545
RE1,PWRWND001,1,2048,2.0079
RE1,PWRWND001,1,2049,2.0079
RE1,PWRTRNIMP,1,2015,52.0
RE1,PWRTRNIMP,1,2016,71.0
RE1,PWRTRNIMP,1,2017,88.0
RE1,PWRTRNIMP,1,2018,96.0
RE1,PWRTRNIMP,1,2019,96.0
RE1,PWRTRNIMP,1,2020,96.0
RE1,PWRTRNIMP,1,2021,96.0
RE1,PWRTRNIMP,1,2022,96.0
RE1,PWRTRNIMP,1,2023,96.0
RE1,PWRTRNIMP,1,2024,96.0
RE1,PWRTRNIMP,1,2025,96.0
RE1,PWRTRNIMP,1,2026,96.0
RE1,PWRTRNIMP,1,2027,96.0
RE1,PWRTRNIMP,1,2028,96.0
RE1,PWRTRNIMP,1,2029,96.0
RE1,PWRTRNIMP,1,2030,96.0
RE1,PWRTRNIMP,1,2031,96.0
RE1,PWRTRNIMP,1,2032,96.0
RE1,PWRTRNIMP,1,2033,96.0
RE1,PWRTRNIMP,1,2034,96.0
RE1,PWRTRNIMP,1,2035,96.0
RE1,PWRTRNIMP,1,2036,96.0
RE1,PWRTRNIMP,1,2037,96.0
RE1,PWRTRNIMP,1,2038,96.0
RE1,PWRTRNIMP,1,2039,96.0
RE1,PWRTRNIMP,1,2040,96.0
RE1,PWRTRNIMP,1,2041,96.0
RE1,PWRTRNIMP,1,2042,96.0
RE1,PWRTRNIMP,1,2043,96.0
RE1,PWRTRNIMP,1,2044,96.0
RE1,PWRTRNIMP,1,2045,96.0
RE1,PWRTRNIMP,1,2046,96.0
RE1,PWRTRNIMP,1,2047,96.0
RE1,PWRTRNIMP,1,2048,96.0
RE1,PWRTRNIMP,1,2049,96.0
RE1,PWRTRNIMP,1,2050,96.0
RE1,PWRTRNIMP,1,2051,96.0
RE1,PWRTRNIMP,1,2052,96.0
RE1,PWRTRNIMP,1,2053,96.0
RE1,PWRTRNIMP,1,2054,96.0
RE1,PWRTRNIMP,1,2055,96.0
RE1,PWRTRNIMP,1,2056,96.0
RE1,PWRTRNIMP,1,2057,96.0
RE1,PWRTRNIMP,1,2058,96.0
RE1,PWRTRNIMP,1,2059,96.0
RE1,PWRTRNIMP,1,2060,96.0
RE1,PWRTRNIMP,1,2061,96.0
RE1,PWRTRNIMP,1,2062,96.0
RE1,PWRTRNIMP,1,2063,96.0
RE1,PWRTRNIMP,1,2064,96.0
RE1,PWRTRNIMP,1,2065,96.0
RE1,PWRTRNIMP,1,2066,96.0
RE1,PWRTRNIMP,1,2067,96.0
RE1,PWRTRNIMP,1,2068,96.0
RE1,PWRTRNIMP,1,2069,96.0
RE1,PWRTRNIMP,1,2070,96.0
RE1,PWRTRN,1,2015,737.8524
RE1,PWRTRN,1,2016,737.2235
RE1,PWRTRN,1,2017,737.0913
RE1,PWRTRN,1,2018,737.1203
RE1,PWRTRN,1,2019,736.4876
RE1,PWRTRN,1,2020,735.8553
RE1,PWRTRN,1,2021,735.2235
RE1,PWRTRN,1,2022,937.8983
RE1,PWRTRN,1,2023,961.1018
RE1,PWRTRN,1,2024,678.8225
RE1,PWRTRN,1,2025,1019.6804
RE1,PWRTRN,1,2026,1047.7837
RE1,PWRTRN,1,2027,1075.8686
RE1,PWRTRN,1,2028,1103.9352
RE1,PWRTRN,1,2029,1131.9835
RE1,PWRTRN,1,2030,1160.0134
RE1,PWRTRN,1,2031,1192.1402
